rank,lift,name,exchange,code,rate,market_cap
1,+ 0,Apple, - Apple Inc. (NASDAQ),USD,1.0,94287100000000.0
2,+ 0,Amazon.com," - Amazon.com, Inc. (NASDAQ)",USD,1.0,80803400000000.0
3,+ 0,Alphabet, - Alphabet Inc Class A (NASDAQ),USD,1.0,79534800000000.0
4,+ 0,Microsoft, - Microsoft Corporation (NASDAQ),USD,1.0,78115100000000.0
5,+ 0,Facebook," - Facebook, Inc. Common Stock (NASDAQ)",USD,1.0,55947400000000.0
6,+ 0,Alibaba, - Alibaba Group Holding Ltd (NYSE),USD,1.0,53515300000000.0
7,+ 0,Tencent Holdings, - 騰訊 (HKG),HKD,0.1275,50872500000000.0
8,+ 0,Samsung Electronics, - Samsung Electronics Co Ltd (KRX),KRW,0.0009,32948100000000.0
9,+ 0,Intel, - Intel Corporation (NASDAQ),USD,1.0,26482800000000.0
10,+ 0,Cisco Systems," - Cisco Systems, Inc. (NASDAQ)",USD,1.0,20495200000000.0
11,+ 0,Taiwan Semiconductor, - 台灣積體電路製造 (TPE),TWD,0.03355557,19932008580000.0
12,+ 0,AT&T, - AT&T Inc. (NYSE),USD,1.0,19903000000000.0
13,+ 0,Verizon Communications, - Verizon Communications Inc. (NYSE),USD,1.0,19758700000000.0
14,+ 0,Oracle, - Oracle Corporation (NYSE),USD,1.0,19317500000000.0
15,+ 0,China Mobile, - 中國移動 (HKG),HKD,0.1275,18870000000000.0
16,+ 0,NVIDIA, - NVIDIA Corporation (NASDAQ),USD,1.0,16077400000000.0
17,+ 0,Netflix," - Netflix, Inc. (NASDAQ)",USD,1.0,15727600000000.0
18,+ 0,SAP, - SAP SE (ETR),EUR,1.1737,14198366270000.0
19,+ 0,Adobe Systems, - Adobe Systems Incorporated (NASDAQ),USD,1.0,12476200000000.0
20,+ 0,3M, - 3M Co (NYSE),USD,1.0,11936800000000.0
21,+ 0,Siemens, - Siemens AG (ETR),EUR,1.1737,11337237780000.0
22,+ 0,Texas Instruments, - Texas Instruments Incorporated (NASDAQ),USD,1.0,11330000000000.0
23,+ 0,Broadcom, - Broadcom Inc (NASDAQ),USD,1.0,10529200000000.0
24,+ 0,Accenture, - Accenture Plc (NYSE),USD,1.0,10252700000000.0
25,+ 0,Booking Holdings, - Booking Holdings Inc (NASDAQ),USD,1.0,10012500000000.0
26,+ 0,Nippon Telegraph & Tel, - Nippon Telegraph And Telephone Corp (TYO),JPY,0.0091,9909900000000.0
27,+ 0,Salesforce.com," - salesforce.com, inc. (NYSE)",USD,1.0,9728200000000.0
28,+ 0,ASML Holding, - ASML Holding NV (AMS),EUR,1.1737,8948288800000.0
29,+ 0,Qualcomm," - QUALCOMM, Inc. (NASDAQ)",USD,1.0,8704500000000.0
30,+ 0,Softbank, - SoftBank Group Corp (TYO),JPY,0.0091,8044400000000.0
31,+ 0,Deutsche Telekom, - Deutsche Telekom AG (ETR),EUR,1.1737,7469074690000.0
32,+ 0,Keyence, - KEYENCE CORPORATION (TYO),JPY,0.0091,7443800000000.0
33,+ 0,Vodafone, - Vodafone Group plc (LON),GBP,1.3387,7052137730000.0
34,+ 0,KDDI, - KDDI Corp (TYO),JPY,0.0091,6897800000000.0
35,+ 0,Micron Technology," - Micron Technology, Inc. (NASDAQ)",USD,1.0,6854200000000.0
36,+ 0,Sony, - Sony Corp (TYO),JPY,0.0091,6215300000000.0
37,+ 0,SK Hynix, - SK Hynix Inc (KRX),KRW,0.0009,5962500000000.0
38,+ 0,Automatic Data Processing, - Automatic Data Processing (NASDAQ),USD,1.0,5914000000000.0
39,+ 0,Hikvision, - 海康威視 (SHE),CNY,0.1561,5767270600000.0
40,+ 0,VMware," - VMware, Inc. (NYSE)",USD,1.0,5748300000000.0
41,+ 0,Applied Materials," - Applied Materials, Inc. (NASDAQ)",USD,1.0,5494000000000.0
42,+ 0,JD.com, - JD.Com Inc(ADR) (NASDAQ),USD,1.0,5473300000000.0
43,+ 0,Intuit, - Intuit Inc. (NASDAQ),USD,1.0,5301500000000.0
44,+ 0,Hon Hai Precision, - 鴻海精密 (TPE),TWD,0.03355748,5134294440000.0
45,+ 0,America Movil, - America Movil SAB de CV (BMV),MXN,0.0502,5120400000000.0
46,+ 0,Schneider Electric, - Schneider Electric SE (EPA),EUR,1.1737,5031182420000.0
47,+ 0,Saudi Telecom, - Saudi Telecom Company SJSC (TADAWUL),SAR,0.2666484,4922329464000.0
48,+ 0,Tata Consultancy Services, - Tata Consultancy Services Limited (NSE),INR,0.0149,4902100000000.0
49,+ 0,Telefónica, - Telefonica SA (BME),EUR,1.1737,4685645140000.0
50,+ 0,Nidec, - NIDEC CORPORATION (TYO),JPY,0.0091,4641000000000.0
51,+ 0,RELX Group, - Relx NV (AMS),EUR,1.1737,4615457880000.0
52,+ 0,Orange, - Orange SA (EPA),EUR,1.1737,4569214100000.0
53,+ 0,Emerson Electric, - Emerson Electric Co. (NYSE),USD,1.0,4505800000000.0
54,+ 0,Crown Castle International, - CROWN CASTLE In/SH SH (NYSE),USD,1.0,4305900000000.0
55,+ 0,China Unicom, - 中國聯通 (HKG),HKD,0.1275,4236774000000.0
56,+ 0,Philips, - Koninklijke Philips NV (AMS),EUR,1.1737,4018748800000.0
57,+ 0,SingTel, - Singapore Telecommunications Limited (SGX),SGD,0.7497,4015318230000.0
58,+ 0,Axiata Group, - Axiata Group Bhd (KLSE),,1.0,4000000000000.0
59,+ 0,Infosys, - Infosys Ltd (NSE),INR,0.0149,3948500000000.0
60,+ 0,eBay, - eBay Inc (NASDAQ),USD,1.0,3883500000000.0
61,+ 0,China Telecom, - 中國電信 (HKG),HKD,0.1275,3879901500000.0
62,+ 0,NXP Semiconductors, - NXP Semiconductors NV (NASDAQ),USD,1.0,3830300000000.0
63,+ 0,BCE, - BCE Inc. (USA) (TSE),CAD,0.7748,3784898000000.0
64,+ 0,Dassault Systemes, - Dassault Systemes SE (EPA),EUR,1.1737,3745511440000.0
65,+ 0,HP, - HP Inc (NYSE),USD,1.0,3732500000000.0
66,+ 0,Analog Devices," - Analog Devices, Inc. (NASDAQ)",USD,1.0,3697300000000.0
67,+ 0,Amadeus IT Group, - Amadeus It Group SA (BME),EUR,1.1737,3590935150000.0
68,+ 0,Hitachi," - Hitachi, Ltd. (TYO)",JPY,0.0091,3512600000000.0
69,+ 0,Murata Manufacturing," - Murata Manufacturing Co., Ltd. (TYO)",JPY,0.0091,3439800000000.0
70,+ 0,Panasonic, - Panasonic Corporation (TYO),JPY,0.0091,3394300000000.0
71,+ 0,Vivendi, - Vivendi SA (EPA),EUR,1.1737,3358425180000.0
72,+ 0,Lam Research, - Lam Research Corporation (NASDAQ),USD,1.0,3356200000000.0
73,+ 0,Nokia, - Nokia Oyj (HEL),EUR,1.1737,3348448730000.0
74,+ 0,TE Connectivity, - TE Connectivity Ltd (NYSE),USD,1.0,3315100000000.0
75,+ 0,Tsinghua Tongfang, - 清華同方 (SHA),,1.0,3287000000000.0
76,+ 0,ServiceNow, - ServiceNow Inc (NYSE),USD,1.0,3242000000000.0
77,+ 0,Infineon Technologies, - Infineon Technologies AG (ETR),EUR,1.1737,3240233590000.0
78,+ 0,Tokyo Electron, - Tokyo Electron Ltd (TYO),JPY,0.0091,3175900000000.0
79,+ 0,Equinix, - Equinix Inc (NASDAQ),USD,1.0,3172000000000.0
80,+ 0,Mitsubishi Electric, - Mitsubishi Electric Corporation (TYO),JPY,0.0091,3121300000000.0
81,+ 0,Netease, - NetEase Inc (ADR) (NASDAQ),USD,1.0,3117900000000.0
82,+ 0,Fiserv, - Fiserv Inc (NASDAQ),USD,1.0,3040500000000.0
83,+ 0,Red Hat, - Red Hat Inc (NYSE),USD,1.0,3010700000000.0
84,+ 0,Autodesk," - Autodesk, Inc. (NASDAQ)",USD,1.0,2970500000000.0
85,+ 0,Chunghwa Telecom, - 中華電信 (TPE),TWD,0.03355748,2863523527612.0
86,+ 0,Workday, - Workday Inc (NASDAQ),USD,1.0,2756800000000.0
87,+ 0,BT Group, - BT Group - CLASS A Common Stock (LON),GBP,1.3387,2738846330000.0
88,+ 0,Amphenol, - Amphenol Corporation (NYSE),USD,1.0,2655300000000.0
