rank,name,industry,exchange,code,rate,market_cap
1,Apple,資訊硬體, - Apple Inc. (NASDAQ),USD,1.0,92392000000000
2,Amazon.com,電商," - Amazon.com, Inc. (NASDAQ)",USD,1.0,83844300000000
3,Alphabet,網路服務, - Alphabet Inc Class A (NASDAQ),USD,1.0,79505200000000
4,Microsoft,軟體, - Microsoft Corporation (NASDAQ),USD,1.0,77170400000000
5,Facebook,網路服務," - Facebook, Inc. Common Stock (NASDAQ)",USD,1.0,57870700000000
6,Alibaba,電商, - Alibaba Group Holding Ltd (NYSE),USD,1.0,47982300000000
7,Tencent Holdings,網路服務, - 騰訊 (HKG),HKD,0.1274,47775000000000
8,Samsung Electronics,半導體, - Samsung Electronics Co Ltd (KRX),KRW,0.0009,30104100000000
9,Intel,半導體, - Intel Corporation (NASDAQ),USD,1.0,23875100000000
10,AT&T,電信, - AT&T Inc. (NYSE),USD,1.0,23495400000000
11,Verizon Communications,電信, - Verizon Communications Inc. (NYSE),USD,1.0,20883800000000
12,Cisco Systems,通訊設備," - Cisco Systems, Inc. (NASDAQ)",USD,1.0,19996700000000
13,Taiwan Semiconductor,半導體, - 台灣積體電路製造 (TPE),TWD,0.03292804,18703126720000
14,Oracle,軟體, - Oracle Corporation (NYSE),USD,1.0,18365300000000
15,China Mobile,電信, - 中國移動 (HKG),HKD,0.1274,18345600000000
16,Netflix,網路服務," - Netflix, Inc. (NASDAQ)",USD,1.0,17772500000000
17,NVIDIA,半導體, - NVIDIA Corporation (NASDAQ),USD,1.0,14848100000000
18,SAP,軟體, - SAP SE (ETR),EUR,1.1789,14641348550000
19,International Business Machines,資訊服務, - IBM Common Stock (NYSE),USD,1.0,13156900000000
20,Adobe Systems,軟體, - Adobe Systems Incorporated (NASDAQ),USD,1.0,12101700000000
21,3M,材料, - 3M Co (NYSE),USD,1.0,11898100000000
22,General Electric,工業, - General Electric Company (NYSE),USD,1.0,11748600000000
23,Siemens,工業, - Siemens AG (ETR),EUR,1.1789,11567602580000
24,Accenture,資訊服務, - Accenture Plc (NYSE),USD,1.0,11217200000000
25,Honeywell International,工業, - Honeywell International Inc. (NYSE),USD,1.0,10950800000000
26,Texas Instruments,半導體, - Texas Instruments Incorporated (NASDAQ),USD,1.0,10855900000000
27,Broadcom,半導體, - Broadcom Inc (NASDAQ),USD,1.0,10691900000000
28,Tata Consultancy Services,資訊服務, - Tata Consultancy Services Limited (NSE),INR,0.0146,10322200000000
29,Salesforce.com,網路服務," - salesforce.com, inc. (NYSE)",USD,1.0,10283800000000
30,Booking Holdings,網路服務, - Booking Holdings Inc (NASDAQ),USD,1.0,10012500000000
31,Nippon Telegraph & Tel,電信, - Nippon Telegraph And Telephone Corp (TYO),JPY,0.0091,9755200000000
32,Baidu,網路服務, - Baidu Inc (ADR) (NASDAQ),USD,1.0,8856300000000
33,ASML Holding,半導體, - ASML Holding NV (EPA),EUR,1.1789,8580977320000
34,Qualcomm,半導體," - QUALCOMM, Inc. (NASDAQ)",USD,1.0,8536700000000
35,Deutsche Telekom,電信, - Deutsche Telekom AG (ETR),EUR,1.1789,7743486760000
36,KDDI,電信, - KDDI Corp (TYO),JPY,0.0091,7134400000000
37,Vodafone,電信, - Vodafone Group plc (LON),GBP,1.3344,6659456640000
38,Sony,資訊硬體, - Sony Corp (TYO),JPY,0.0091,6451900000000
39,Keyence,電子, - KEYENCE CORPORATION (TYO),JPY,0.0091,6324500000000
40,VMware,軟體," - VMware, Inc. (NYSE)",USD,1.0,6314200000000
41,Micron Technology,半導體," - Micron Technology, Inc. (NASDAQ)",USD,1.0,6252800000000
42,Altaba,網路服務, - Altaba Inc (NASDAQ),USD,1.0,6019100000000
43,Automatic Data Processing,資訊服務, - Automatic Data Processing (NASDAQ),USD,1.0,5903400000000
44,SK Hynix,半導體, - SK Hynix Inc (KRX),KRW,0.0009,5815800000000
45,America Movil,電信, - America Movil SAB de CV (BMV),MXN,0.0525,5775000000000
46,JD.com,電商, - JD.Com Inc(ADR) (NASDAQ),USD,1.0,5519400000000
47,Intuit,軟體, - Intuit Inc. (NASDAQ),USD,1.0,5251000000000
48,Hikvision,電子, - 海康威視 (SHE),CNY,0.1512,5018055840000
49,Schneider Electric,機電設備, - Schneider Electric SE (EPA),EUR,1.1789,4765703250000
50,Telefónica,電信, - Telefonica SA (BME),EUR,1.1789,4687424290000
51,Orange,電信, - Orange SA (EPA),EUR,1.1789,4658423350000
52,Hon Hai Precision,資訊硬體, - 鴻海精密 (TPE),TWD,0.03292804,4642853640000
53,Applied Materials,半導體," - Applied Materials, Inc. (NASDAQ)",USD,1.0,4619300000000
54,Crown Castle International,電信, - CROWN CASTLE In/SH SH (NYSE),USD,1.0,4615700000000
