rank,lift,name,exchange,code,rate,market_cap
1,+ 0,Apple, - Apple Inc. (NASDAQ),USD,1.0,92947800000000.0
2,+ 0,Amazon.com," - Amazon.com, Inc. (NASDAQ)",USD,1.0,83589500000000.0
3,+ 0,Alphabet, - Alphabet Inc Class A (NASDAQ),USD,1.0,81079400000000.0
4,+ 0,Microsoft, - Microsoft Corporation (NASDAQ),USD,1.0,77588800000000.0
5,+ 0,Facebook," - Facebook, Inc. Common Stock (NASDAQ)",USD,1.0,57546700000000.0
6,+ 0,Alibaba, - Alibaba Group Holding Ltd (NYSE),USD,1.0,52852000000000.0
7,+ 0,Tencent Holdings, - 騰訊 (HKG),HKD,0.1274,49686000000000.0
8,+ 0,Samsung Electronics, - Samsung Electronics Co Ltd (KRX),KRW,0.0009,29929500000000.0
9,+ 0,Intel, - Intel Corporation (NASDAQ),USD,1.0,24651400000000.0
10,+ 0,Cisco Systems," - Cisco Systems, Inc. (NASDAQ)",USD,1.0,20746800000000.0
11,+ 0,AT&T, - AT&T Inc. (NYSE),USD,1.0,19967500000000.0
12,+ 0,Taiwan Semiconductor, - 台灣積體電路製造 (TPE),TWD,0.03317469,19871639310000.0
13,+ 0,Verizon Communications, - Verizon Communications Inc. (NYSE),USD,1.0,19568700000000.0
14,+ 0,Oracle, - Oracle Corporation (NYSE),USD,1.0,18864400000000.0
15,+ 0,China Mobile, - 中國移動 (HKG),HKD,0.1274,18345600000000.0
16,+ 0,Netflix," - Netflix, Inc. (NASDAQ)",USD,1.0,16974300000000.0
17,+ 0,NVIDIA, - NVIDIA Corporation (NASDAQ),USD,1.0,16036900000000.0
18,+ 0,SAP, - SAP SE (ETR),EUR,1.1596,14562024880000.0
19,+ 0,IBM, - IBM Common Stock (NYSE),USD,1.0,13248100000000.0
20,+ 0,Adobe Systems, - Adobe Systems Incorporated (NASDAQ),USD,1.0,12607700000000.0
21,+ 0,3M, - 3M Co (NYSE),USD,1.0,12053100000000.0
22,+ 0,Broadcom, - Broadcom Inc (NASDAQ),USD,1.0,11665300000000.0
23,+ 0,Siemens, - Siemens AG (ETR),EUR,1.1596,11664300440000.0
24,+ 0,General Electric, - General Electric Company (NYSE),USD,1.0,11469000000000.0
25,+ 0,Honeywell International, - Honeywell International Inc. (NYSE),USD,1.0,11174800000000.0
26,+ 0,Texas Instruments, - Texas Instruments Incorporated (NASDAQ),USD,1.0,11155700000000.0
27,+ 0,Accenture, - Accenture Plc (NYSE),USD,1.0,10433400000000.0
28,+ 0,Tata Consultancy Services, - Tata Consultancy Services Limited (NSE),INR,0.0147,10260600000000.0
29,+ 0,Salesforce.com," - salesforce.com, inc. (NYSE)",USD,1.0,10204900000000.0
30,+ 0,Booking Holdings, - Booking Holdings Inc (NASDAQ),USD,1.0,10012500000000.0
31,+ 0,Nippon Telegraph & Tel, - Nippon Telegraph And Telephone Corp (TYO),JPY,0.009,9891000000000.0
32,+ 0,Baidu, - Baidu Inc (ADR) (NASDAQ),USD,1.0,9320100000000.0
33,+ 0,ASML Holding, - ASML Holding NV (AMS),EUR,1.1596,9050909920000.0
34,+ 0,Qualcomm," - QUALCOMM, Inc. (NASDAQ)",USD,1.0,8781600000000.0
35,+ 0,Deutsche Telekom, - Deutsche Telekom AG (ETR),EUR,1.1596,7495306520000.0
36,+ 0,Keyence, - KEYENCE CORPORATION (TYO),JPY,0.0091,7398300000000.0
37,+ 0,KDDI, - KDDI Corp (TYO),JPY,0.009,6929999999999.0
38,+ 0,Micron Technology," - Micron Technology, Inc. (NASDAQ)",USD,1.0,6725000000000.0
39,+ 0,Vodafone, - Vodafone Group plc (LON),GBP,1.328,6568553600000.0
40,+ 0,JD.com, - JD.Com Inc(ADR) (NASDAQ),USD,1.0,6425000000000.0
41,+ 0,Sony, - Sony Corp (TYO),JPY,0.0091,6188000000000.0
