rank,name,industry,exchange,code,rate,market_cap
1,Apple,資訊硬體, - Apple Inc. (NASDAQ),USD,1.0,91296700000000
2,Amazon.com,電商," - Amazon.com, Inc. (NASDAQ)",USD,1.0,82342800000000
3,Alphabet,網路服務, - Alphabet Inc Class A (NASDAQ),USD,1.0,78981400000000
4,Microsoft,軟體, - Microsoft Corporation (NASDAQ),USD,1.0,76743500000000
5,Facebook,網路服務," - Facebook, Inc. Common Stock (NASDAQ)",USD,1.0,57465600000000
6,Alibaba,電商, - Alibaba Group Holding Ltd (NYSE),USD,1.0,49448200000000
7,Tencent Holdings,網路服務, - 騰訊 (HKG),HKD,0.1274,46755800000000
8,Samsung Electronics,半導體, - Samsung Electronics Co Ltd (KRX),KRW,0.0009,30183300000000
9,Intel,半導體, - Intel Corporation (NASDAQ),USD,1.0,23113600000000
10,AT&T,電信, - AT&T Inc. (NYSE),USD,1.0,23076900000000
11,Verizon Communications,電信, - Verizon Communications Inc. (NYSE),USD,1.0,20436400000000
12,Cisco Systems,通訊設備," - Cisco Systems, Inc. (NASDAQ)",USD,1.0,20208300000000
13,Taiwan Semiconductor,半導體, - 台灣積體電路製造 (TPE),TWD,0.03289905,18291871800000
14,Oracle,軟體, - Oracle Corporation (NYSE),USD,1.0,18260600000000
15,China Mobile,電信, - 中國移動 (HKG),HKD,0.1274,18090800000000
16,Netflix,網路服務," - Netflix, Inc. (NASDAQ)",USD,1.0,17566400000000
17,NVIDIA,半導體, - NVIDIA Corporation (NASDAQ),USD,1.0,14771000000000
18,SAP,軟體, - SAP SE (ETR),EUR,1.1672,14136892960000
19,International Business Machines,資訊服務, - IBM Common Stock (NYSE),USD,1.0,12781800000000
20,Adobe Systems,軟體, - Adobe Systems Incorporated (NASDAQ),USD,1.0,11999500000000
21,General Electric,工業, - General Electric Company (NYSE),USD,1.0,11972700000000
22,3M,材料, - 3M Co (NYSE),USD,1.0,11702900000000
23,Siemens,工業, - Siemens AG (ETR),EUR,1.1672,11123649440000
24,Texas Instruments,半導體, - Texas Instruments Incorporated (NASDAQ),USD,1.0,10921800000000
25,Broadcom,半導體, - Broadcom Inc (NASDAQ),USD,1.0,10896500000000
26,Honeywell International,工業, - Honeywell International Inc. (NYSE),USD,1.0,10819300000000
27,Tata Consultancy Services,資訊服務, - Tata Consultancy Services Limited (NSE),INR,0.0146,10351400000000
28,Accenture,資訊服務, - Accenture Plc (NYSE),USD,1.0,10117000000000
29,Salesforce.com,網路服務," - salesforce.com, inc. (NYSE)",USD,1.0,10024300000000
30,Booking Holdings,網路服務, - Booking Holdings Inc (NASDAQ),USD,1.0,10012500000000
31,Nippon Telegraph & Tel,電信, - Nippon Telegraph And Telephone Corp (TYO),JPY,0.0091,9791600000000
32,Baidu,網路服務, - Baidu Inc (ADR) (NASDAQ),USD,1.0,8774700000000
33,ASML Holding,半導體, - ASML Holding NV (AMS),EUR,1.1672,8541102720000
34,Qualcomm,半導體," - QUALCOMM, Inc. (NASDAQ)",USD,1.0,8401300000000
35,Deutsche Telekom,電信, - Deutsche Telekom AG (ETR),EUR,1.1672,7335968720000
36,KDDI,電信, - KDDI Corp (TYO),JPY,0.0091,7079800000000
37,Keyence,電子, - KEYENCE CORPORATION (TYO),JPY,0.0091,7025200000000
38,Vodafone,電信, - Vodafone Group plc (LON),GBP,1.324,6471844400000
39,Sony,資訊硬體, - Sony Corp (TYO),JPY,0.0091,6333600000000
40,Micron Technology,半導體," - Micron Technology, Inc. (NASDAQ)",USD,1.0,6308200000000
41,Altaba,網路服務, - Altaba Inc (NASDAQ),USD,1.0,6219200000000
42,Automatic Data Processing,資訊服務, - Automatic Data Processing (NASDAQ),USD,1.0,6025000000000
43,VMware,軟體," - VMware, Inc. (NYSE)",USD,1.0,5959000000000
44,JD.com,電商, - JD.Com Inc(ADR) (NASDAQ),USD,1.0,5691900000000
45,SK Hynix,半導體, - SK Hynix Inc (KRX),KRW,0.0009,5523300000000
46,America Movil,電信, - America Movil SAB de CV (BMV),MXN,0.0502,5321200000000
47,Hikvision,電子, - 海康威視 (SHE),CNY,0.1521,5263009830000
48,Intuit,軟體, - Intuit Inc. (NASDAQ),USD,1.0,5195900000000
49,Saudi Telecom,電信, - Saudi Telecom Company SJSC (TADAWUL),SAR,0.2666451,4762281486000
50,Applied Materials,半導體," - Applied Materials, Inc. (NASDAQ)",USD,1.0,4722700000000
51,Schneider Electric,機電設備, - Schneider Electric SE (EPA),EUR,1.1672,4690626640000
52,Hon Hai Precision,資訊硬體, - 鴻海精密 (TPE),TWD,0.03289905,4605867000000
53,Telefónica,電信, - Telefonica SA (BME),EUR,1.1672,4454852240000
54,Orange,電信, - Orange SA (EPA),EUR,1.1672,4447615600000
55,Nidec,機電設備, - NIDEC CORPORATION (TYO),JPY,0.0091,4431700000000
56,Emerson Electric,機電設備, - Emerson Electric Co. (NYSE),USD,1.0,4375300000000
57,Crown Castle International,電信, - CROWN CASTLE In/SH SH (NYSE),USD,1.0,4325800000000
58,Infosys,資訊服務, - Infosys Ltd (NSE),INR,0.0146,4073400000000
59,Philips,工業, - Koninklijke Philips NV (AMS),EUR,1.1672,3930546000000
60,NXP Semiconductors,半導體, - NXP Semiconductors NV (NASDAQ),USD,1.0,3827800000000
61,China Unicom,電信, - 中國聯通 (HKG),HKD,0.1274,3753968400000
62,SingTel,電信, - Singapore Telecommunications Limited (SGX),SGD,0.7345,3742057150000
