rank,name,industry,exchange,code,rate,market_cap
1,Apple,資訊硬體, - Apple Inc. (NASDAQ),USD,1.0,91347800000000
2,Amazon.com,電商," - Amazon.com, Inc. (NASDAQ)",USD,1.0,83912600000000
3,Alphabet,網路服務, - Alphabet Inc Class A (NASDAQ),USD,1.0,80849600000000
4,Microsoft,軟體, - Microsoft Corporation (NASDAQ),USD,1.0,77108600000000
5,Facebook,網路服務," - Facebook, Inc. Common Stock (NASDAQ)",USD,1.0,58213800000000
6,Alibaba,電商, - Alibaba Group Holding Ltd (NYSE),USD,1.0,51661000000000
7,Tencent Holdings,網路服務, - 騰訊 (HKG),HKD,0.1274,48157200000000
8,Samsung Electronics,半導體, - Samsung Electronics Co Ltd (KRX),KRW,0.0009,30331800000000
9,Intel,半導體, - Intel Corporation (NASDAQ),USD,1.0,24569000000000
10,Verizon Communications,電信, - Verizon Communications Inc. (NYSE),USD,1.0,20581000000000
11,Cisco Systems,通訊設備," - Cisco Systems, Inc. (NASDAQ)",USD,1.0,20340000000000
12,AT&T,電信, - AT&T Inc. (NYSE),USD,1.0,19525300000000
13,Taiwan Semiconductor,半導體, - 台灣積體電路製造 (TPE),TWD,0.03299393,19466418700000
14,Oracle,軟體, - Oracle Corporation (NYSE),USD,1.0,17964200000000
15,China Mobile,電信, - 中國移動 (HKG),HKD,0.1274,17963400000000
16,Netflix,網路服務," - Netflix, Inc. (NASDAQ)",USD,1.0,17918000000000
17,NVIDIA,半導體, - NVIDIA Corporation (NASDAQ),USD,1.0,15328600000000
18,SAP,軟體, - SAP SE (ETR),EUR,1.1648,14300599040000
19,International Business Machines,資訊服務, - IBM Common Stock (NYSE),USD,1.0,12986500000000
20,Adobe Systems,軟體, - Adobe Systems Incorporated (NASDAQ),USD,1.0,12071400000000
21,3M,材料, - 3M Co (NYSE),USD,1.0,11685600000000
22,Siemens,工業, - Siemens AG (ETR),EUR,1.1648,11514630400000
23,Broadcom,半導體, - Broadcom Inc (NASDAQ),USD,1.0,11208600000000
24,General Electric,工業, - General Electric Company (NYSE),USD,1.0,11199700000000
25,Texas Instruments,半導體, - Texas Instruments Incorporated (NASDAQ),USD,1.0,10990800000000
26,Honeywell International,工業, - Honeywell International Inc. (NYSE),USD,1.0,10802100000000
27,Accenture,資訊服務, - Accenture Plc (NYSE),USD,1.0,10230900000000
28,Tata Consultancy Services,資訊服務, - Tata Consultancy Services Limited (NSE),INR,0.0147,10201800000000
29,Booking Holdings,網路服務, - Booking Holdings Inc (NASDAQ),USD,1.0,10012500000000
30,Salesforce.com,網路服務," - salesforce.com, inc. (NYSE)",USD,1.0,9945100000000
31,Nippon Telegraph & Tel,電信, - Nippon Telegraph And Telephone Corp (TYO),JPY,0.0091,9837100000000
32,Baidu,網路服務, - Baidu Inc (ADR) (NASDAQ),USD,1.0,9095600000000
33,ASML Holding,半導體, - ASML Holding NV (AMS),EUR,1.1648,8913049600000
34,Qualcomm,半導體," - QUALCOMM, Inc. (NASDAQ)",USD,1.0,8697900000000
35,Deutsche Telekom,電信, - Deutsche Telekom AG (ETR),EUR,1.1648,7509465600000
36,Keyence,電子, - KEYENCE CORPORATION (TYO),JPY,0.0091,7361900000000
37,KDDI,電信, - KDDI Corp (TYO),JPY,0.0091,6997900000000
38,Micron Technology,半導體," - Micron Technology, Inc. (NASDAQ)",USD,1.0,6656500000000
39,Vodafone,電信, - Vodafone Group plc (LON),GBP,1.3287,6610016760000
40,Altaba,網路服務, - Altaba Inc (NASDAQ),USD,1.0,6490800000000
41,Sony,資訊硬體, - Sony Corp (TYO),JPY,0.0091,6342700000000
42,Automatic Data Processing,資訊服務, - Automatic Data Processing (NASDAQ),USD,1.0,6132500000000
43,VMware,軟體," - VMware, Inc. (NYSE)",USD,1.0,6043900000000
44,SK Hynix,半導體, - SK Hynix Inc (KRX),KRW,0.0009,5864400000000
45,JD.com,電商, - JD.Com Inc(ADR) (NASDAQ),USD,1.0,5856300000000
46,Intuit,軟體, - Intuit Inc. (NASDAQ),USD,1.0,5311900000000
47,America Movil,電信, - America Movil SAB de CV (BMV),MXN,0.0495,5296500000000
48,Hikvision,電子, - 海康威視 (SHE),CNY,0.1539,5289789240000
49,Applied Materials,半導體," - Applied Materials, Inc. (NASDAQ)",USD,1.0,4870400000000
50,Schneider Electric,機電設備, - Schneider Electric SE (EPA),EUR,1.1648,4804101120000
51,Saudi Telecom,電信, - Saudi Telecom Company SJSC (TADAWUL),SAR,0.26665641,4731684667245
52,Hon Hai Precision,資訊硬體, - 鴻海精密 (TPE),TWD,0.03299393,4718131990000
53,Nidec,機電設備, - NIDEC CORPORATION (TYO),JPY,0.0091,4595500000000
54,Telefónica,電信, - Telefonica SA (BME),EUR,1.1648,4509290240000
55,Orange,電信, - Orange SA (EPA),EUR,1.1648,4491235840000
56,Emerson Electric,機電設備, - Emerson Electric Co. (NYSE),USD,1.0,4415000000000
57,Crown Castle International,電信, - CROWN CASTLE In/SH SH (NYSE),USD,1.0,4268900000000
58,Infosys,資訊服務, - Infosys Ltd (NSE),INR,0.0147,3983700000000
59,Philips,工業, - Koninklijke Philips NV (AMS),EUR,1.1648,3966842880000
60,NXP Semiconductors,半導體, - NXP Semiconductors NV (NASDAQ),USD,1.0,3907400000000
61,Axiata Group,電信, - Axiata Group Bhd (KLSE),,1.0,3855200000000
62,HP,資訊硬體, - HP Inc (NYSE),USD,1.0,3844300000000
63,China Unicom,電信, - 中國聯通 (HKG),HKD,0.1274,3816343440000
64,eBay,電商, - eBay Inc (NASDAQ),USD,1.0,3763700000000
65,SingTel,電信, - Singapore Telecommunications Limited (SGX),SGD,0.7362,3750718140000
66,Murata Manufacturing,電子," - Murata Manufacturing Co., Ltd. (TYO)",JPY,0.0091,3740100000000
67,Dassault Systemes,軟體, - Dassault Systemes SE (EPA),EUR,1.1648,3688106240000
68,BCE,電信, - BCE Inc. (USA) (TSE),CAD,0.7535,3680847499999
69,Analog Devices,半導體," - Analog Devices, Inc. (NASDAQ)",USD,1.0,3678600000000
70,Amadeus IT Group,軟體, - Amadeus It Group SA (BME),EUR,1.1648,3625090560000
71,China Telecom,電信, - 中國電信 (HKG),HKD,0.1274,3608770620000
72,Hitachi,電子," - Hitachi, Ltd. (TYO)",JPY,0.0091,3439800000000
73,Netease,網路服務, - NetEase Inc (ADR) (NASDAQ),USD,1.0,3414300000000
74,Panasonic,資訊硬體, - Panasonic Corporation (TYO),JPY,0.0091,3357900000000
75,TE Connectivity,電子, - TE Connectivity Ltd (NYSE),USD,1.0,3332600000000
76,Equinix,資訊服務, - Equinix Inc (NASDAQ),USD,1.0,3329300000000
77,Nokia,通訊設備, - Nokia Oyj (HEL),EUR,1.1648,3325736960000
78,Vivendi,電信, - Vivendi SA (EPA),EUR,1.1648,3263303680000
79,ServiceNow,軟體, - ServiceNow Inc (NYSE),USD,1.0,3120400000000
80,Fiserv,軟體, - Fiserv Inc (NASDAQ),USD,1.0,3107600000000
81,Autodesk,軟體," - Autodesk, Inc. (NASDAQ)",USD,1.0,2997500000000
82,Lam Research,半導體, - Lam Research Corporation (NASDAQ),USD,1.0,2865500000000
83,Mitsubishi Electric,機電設備, - Mitsubishi Electric Corporation (TYO),JPY,0.0091,2857400000000
84,Tokyo Electron,半導體, - Tokyo Electron Ltd (TYO),JPY,0.0091,2848300000000
85,Chunghwa Telecom,電信, - 中華電信 (TPE),TWD,0.03299393,2815434735367
86,Amphenol,電子, - Amphenol Corporation (NYSE),USD,1.0,2680700000000
87,Workday,軟體, - Workday Inc (NASDAQ),USD,1.0,2678300000000
88,Ericsson,通訊設備, - ERICSSON/SH B (STO),SEK,0.1131,2585409450000
89,Red Hat,軟體, - Red Hat Inc (NYSE),USD,1.0,2580300000000
90,Western Digital,儲存, - Western Digital Corp (NASDAQ),USD,1.0,2408600000000
91,Telstra,電信, - Telstra Corporation Ltd (ASX),AUD,0.7428,2367600720000
92,Corning,材料, - Corning Incorporated (NYSE),USD,1.0,2358200000000
93,Swisscom,電信, - Swisscom AG (VTX),CHF,1.0099,2342160080000
94,Hewlett Packard Enterprise,資訊硬體, - Hewlett Packard Enterprise Co (NYSE),USD,1.0,2320900000000
95,Microchip Technology,半導體, - Microchip Technology Inc. (NASDAQ),USD,1.0,2280600000000
96,Focus Media Information Technology,資訊硬體, - 分眾傳媒 (SHE),CNY,0.1539,2277750780000
97,Capgemini,資訊服務, - Capgemini SE (EPA),EUR,1.1648,2225466880000
98,Bharti Airtel,電信, - Bharti Airtel Limited (NSE),INR,0.0147,2190300000000
99,Naver,網路服務, - Naver Corp (KRX),KRW,0.0009,2144700000000
100,Best Buy,電商, - Best Buy Co Inc (NYSE),USD,1.0,2139600000000
101,Kyocera,電子, - Kyocera Corp (TYO),JPY,0.0091,2129400000000
102,NetApp,儲存, - NetApp Inc. (NASDAQ),USD,1.0,2066000000000
103,TELUS,電信, - TELUS Corporation (USA) (TSE),CAD,0.7535,2039875199999
104,Teliasonera,電信, - Telia Company AB (STO),SEK,0.1131,2029975350000
105,Agilent Technologies,電子, - Agilent Technologies Inc (NYSE),USD,1.0,2014700000000
106,CenturyLink,電信, - Centurylink Inc (NYSE),USD,1.0,2011000000000
107,Toshiba,電子, - Toshiba Corp (TYO),JPY,0.0091,2002000000000
108,Fujifilm Holdings,資訊硬體, - FUJIFILM Holdings Corp (TYO),JPY,0.0091,1974700000000
109,Legrand,機電設備, - Legrand SA (EPA),EUR,1.1648,1967813120000
110,LARGAN Precision,電子, - 大立光電 (TPE),TWD,0.03299393,1934081080848
111,HCL Technologies,軟體, - HCL Technologies Ltd (NSE),INR,0.0147,1881600000000
112,Expedia,網路服務, - Expedia Group Inc (NASDAQ),USD,1.0,1868600000000
