rank,lift,name,exchange,code,rate,market_cap
1,+ 0,Apple, - Apple Inc. (NASDAQ),USD,1.0,94613900000000.0
2,+ 0,Amazon.com," - Amazon.com, Inc. (NASDAQ)",USD,1.0,80774800000000.0
3,+ 0,Alphabet, - Alphabet Inc Class A (NASDAQ),USD,1.0,79323000000000.0
4,+ 0,Microsoft, - Microsoft Corporation (NASDAQ),USD,1.0,78344400000000.0
5,+ 0,Facebook," - Facebook, Inc. Common Stock (NASDAQ)",USD,1.0,55483400000000.0
6,+ 0,Alibaba, - Alibaba Group Holding Ltd (NYSE),USD,1.0,53497300000000.0
7,+ 0,Tencent Holdings, - 騰訊 (HKG),HKD,0.12744762,50979048000000.0
8,+ 0,Samsung Electronics, - Samsung Electronics Co Ltd (KRX),KRW,0.00093639,33733449750000.0
9,+ 0,Intel, - Intel Corporation (NASDAQ),USD,1.0,26717000000000.0
10,+ 0,Cisco Systems," - Cisco Systems, Inc. (NASDAQ)",USD,1.0,20772100000000.0
11,+ 0,AT&T, - AT&T Inc. (NYSE),USD,1.0,20329300000000.0
12,+ 0,Taiwan Semiconductor, - 台灣積體電路製造 (TPE),TWD,0.03362458,20040249680000.0
13,+ 0,Verizon Communications, - Verizon Communications Inc. (NYSE),USD,1.0,19940000000000.0
14,+ 0,Oracle, - Oracle Corporation (NYSE),USD,1.0,19571600000000.0
15,+ 0,China Mobile, - 中國移動 (HKG),HKD,0.12744762,18989695380000.0
16,+ 0,NVIDIA, - NVIDIA Corporation (NASDAQ),USD,1.0,16082200000000.0
17,+ 0,Netflix," - Netflix, Inc. (NASDAQ)",USD,1.0,15798600000000.0
18,+ 0,SAP, - SAP SE (ETR),EUR,1.17691379,14103075636949.0
19,+ 0,IBM, - IBM Common Stock (NYSE),USD,1.0,13222900000000.0
20,+ 0,Adobe Systems, - Adobe Systems Incorporated (NASDAQ),USD,1.0,12538000000000.0
21,+ 0,3M, - 3M Co (NYSE),USD,1.0,12094600000000.0
22,+ 0,General Electric, - General Electric Company (NYSE),USD,1.0,11769500000000.0
23,+ 0,Texas Instruments, - Texas Instruments Incorporated (NASDAQ),USD,1.0,11373300000000.0
24,+ 0,Honeywell International, - Honeywell International Inc. (NYSE),USD,1.0,11299000000000.0
25,+ 0,Siemens, - Siemens AG (ETR),EUR,1.17691379,11269655687524.0
26,+ 0,Broadcom, - Broadcom Inc (NASDAQ),USD,1.0,10649200000000.0
27,+ 0,Accenture, - Accenture Plc (NYSE),USD,1.0,10431600000000.0
28,+ 0,Tata Consultancy Services, - Tata Consultancy Services Limited (NSE),INR,0.01492589,10074975750000.0
29,+ 0,Booking Holdings, - Booking Holdings Inc (NASDAQ),USD,1.0,10012500000000.0
30,+ 0,Salesforce.com," - salesforce.com, inc. (NYSE)",USD,1.0,9839000000000.0
31,+ 0,Nippon Telegraph & Tel, - Nippon Telegraph And Telephone Corp (TYO),JPY,0.00909138,9791416260000.0
32,+ 0,Baidu, - Baidu Inc (ADR) (NASDAQ),USD,1.0,9236900000000.0
33,+ 0,ASML Holding, - ASML Holding NV (AMS),EUR,1.17691379,8850156318042.0
34,+ 0,Softbank, - SoftBank Group Corp (TYO),JPY,0.00909138,8109510960000.0
35,+ 0,Deutsche Telekom, - Deutsche Telekom AG (ETR),EUR,1.17691379,7476227159596.0
36,+ 0,Keyence, - KEYENCE CORPORATION (TYO),JPY,0.0090909,7390901700000.0
37,+ 0,Vodafone, - Vodafone Group plc (LON),GBP,1.34141335,7106271362960.0
38,+ 0,KDDI, - KDDI Corp (TYO),JPY,0.00909138,7045819500000.0
39,+ 0,Micron Technology," - Micron Technology, Inc. (NASDAQ)",USD,1.0,6855400000000.0
40,+ 0,Sony, - Sony Corp (TYO),JPY,0.0090909,6309084600000.0
41,+ 0,SK Hynix, - SK Hynix Inc (KRX),KRW,0.00093639,6107135580000.0
42,+ 0,Automatic Data Processing, - Automatic Data Processing (NASDAQ),USD,1.0,6003600000000.0
43,+ 0,VMware," - VMware, Inc. (NYSE)",USD,1.0,5805200000000.0
44,+ 0,JD.com, - JD.Com Inc(ADR) (NASDAQ),USD,1.0,5688700000000.0
45,+ 0,Hikvision, - 海康威視 (SHE),CNY,0.15641455,5600892206400.0
46,+ 0,Applied Materials," - Applied Materials, Inc. (NASDAQ)",USD,1.0,5454600000000.0
47,+ 0,Intuit, - Intuit Inc. (NASDAQ),USD,1.0,5333800000000.0
48,+ 0,Hon Hai Precision, - 鴻海精密 (TPE),TWD,0.03362458,5279059060000.0
49,+ 0,America Movil, - America Movil SAB de CV (BMV),MXN,0.04921273,5118123920000.0
50,+ 0,Schneider Electric, - Schneider Electric SE (EPA),EUR,1.17691379,5108394305495.0
51,+ 0,Saudi Telecom, - Saudi Telecom Company SJSC (TADAWUL),SAR,0.26665651,4933065438047.0
52,+ 0,Telefónica, - Telefonica SA (BME),EUR,1.17691379,4745669475417.0
53,+ 0,Orange, - Orange SA (EPA),EUR,1.17691379,4698239849680.0
54,+ 0,Nidec, - NIDEC CORPORATION (TYO),JPY,0.0090909,4663631700000.0
55,+ 0,RELX Group, - Relx NV (AMS),EUR,1.17691379,4633274208472.0
56,+ 0,Emerson Electric, - Emerson Electric Co. (NYSE),USD,1.0,4544200000000.0
57,+ 0,Crown Castle International, - CROWN CASTLE In/SH SH (NYSE),USD,1.0,4278900000000.0
58,+ 0,China Unicom, - 中國聯通 (HKG),HKD,0.12744762,4227386576352.0
59,+ 0,Infosys, - Infosys Ltd (NSE),INR,0.01492589,4134471530000.0
60,+ 0,Philips, - Koninklijke Philips NV (AMS),EUR,1.17691379,4020102123882.0
61,+ 0,SingTel, - Singapore Telecommunications Limited (SGX),SGD,0.75029983,3976514069017.0
62,+ 0,China Telecom, - 中國電信 (HKG),HKD,0.12744762,3888770994774.0
63,+ 0,eBay, - eBay Inc (NASDAQ),USD,1.0,3874700000000.0
64,+ 0,BCE, - BCE Inc. (USA) (TSE),CAD,0.77293912,3775807601200.0
65,+ 0,NXP Semiconductors, - NXP Semiconductors NV (NASDAQ),USD,1.0,3769700000000.0
66,+ 0,Analog Devices," - Analog Devices, Inc. (NASDAQ)",USD,1.0,3750900000000.0
67,+ 0,HP, - HP Inc (NYSE),USD,1.0,3746800000000.0
68,+ 0,Dassault Systemes, - Dassault Systemes SE (EPA),EUR,1.17691379,3713045316071.0
69,+ 0,Hitachi," - Hitachi, Ltd. (TYO)",JPY,0.0090909,3699996300000.0
70,+ 0,Amadeus IT Group, - Amadeus It Group SA (BME),EUR,1.17691379,3585820935372.0
71,+ 0,Panasonic, - Panasonic Corporation (TYO),JPY,0.0090909,3536360100000.0
72,+ 0,Murata Manufacturing," - Murata Manufacturing Co., Ltd. (TYO)",JPY,0.0090909,3454542000000.0
73,+ 0,TE Connectivity, - TE Connectivity Ltd (NYSE),USD,1.0,3386300000000.0
74,+ 0,Vivendi, - Vivendi SA (EPA),EUR,1.17691379,3341493632568.0
75,+ 0,Lam Research, - Lam Research Corporation (NASDAQ),USD,1.0,3319100000000.0
76,+ 0,Nokia, - Nokia Oyj (HEL),EUR,1.17691379,3303479317151.0
77,+ 0,ServiceNow, - ServiceNow Inc (NYSE),USD,1.0,3247700000000.0
78,+ 0,Infineon Technologies, - Infineon Technologies AG (ETR),EUR,1.17691379,3208149300161.0
79,+ 0,Tsinghua Tongfang, - 清華同方 (SHA),,1.0,3198600000000.0
80,+ 0,Tokyo Electron, - Tokyo Electron Ltd (TYO),JPY,0.0090909,3145451400000.0
81,+ 0,Equinix, - Equinix Inc (NASDAQ),USD,1.0,3143100000000.0
82,+ 0,Netease, - NetEase Inc (ADR) (NASDAQ),USD,1.0,3112400000000.0
83,+ 0,Fiserv, - Fiserv Inc (NASDAQ),USD,1.0,3096700000000.0
84,+ 0,Mitsubishi Electric, - Mitsubishi Electric Corporation (TYO),JPY,0.0090909,3081815100000.0
85,+ 0,Red Hat, - Red Hat Inc (NYSE),USD,1.0,3013500000000.0
86,+ 0,Autodesk," - Autodesk, Inc. (NASDAQ)",USD,1.0,2995000000000.0
87,+ 0,Chunghwa Telecom, - 中華電信 (TPE),TWD,0.03362458,2862413420988.0
88,+ 0,BT Group, - BT Group - CLASS A Common Stock (LON),GBP,1.34141335,2755799586240.0
89,+ 0,Workday, - Workday Inc (NASDAQ),USD,1.0,2748300000000.0
90,+ 0,Amphenol, - Amphenol Corporation (NYSE),USD,1.0,2669800000000.0
91,+ 0,Fortive, - Fortive Corp (NYSE),USD,1.0,2611100000000.0
92,+ 0,Telstra, - Telstra Corporation Ltd (ASX),AUD,0.76530618,2504847127140.0
93,+ 0,Western Digital, - Western Digital Corp (NASDAQ),USD,1.0,2504200000000.0
94,+ 0,Ericsson, - ERICSSON/SH B (STO),SEK,0.11459804,2451527110896.0
95,+ 0,Hewlett Packard Enterprise, - Hewlett Packard Enterprise Co (NYSE),USD,1.0,2407700000000.0
96,+ 0,Microchip Technology, - Microchip Technology Inc. (NASDAQ),USD,1.0,2403700000000.0
97,+ 0,Focus Media Information Technology, - 分眾傳媒 (SHE),CNY,0.15641455,2375311356300.0
98,+ 0,Corning, - Corning Incorporated (NYSE),USD,1.0,2362700000000.0
99,+ 0,Bharti Airtel, - Bharti Airtel Limited (NSE),INR,0.01492589,2343364730000.0
100,+ 0,Swisscom, - Swisscom AG (VTX),CHF,1.01417296,2339899853312.0
101,+ 0,Kyocera, - Kyocera Corp (TYO),JPY,0.0090909,2290906800000.0
102,+ 0,Hoya, - HOYA CORPORATION (TYO),JPY,0.0090909,2263634100000.0
103,+ 0,Capgemini, - Capgemini SE (EPA),EUR,1.17691379,2235430052726.0
104,+ 0,BOE Technology Group, - 京東方A (SHE),CNY,0.15641455,2173051701695.0
105,+ 0,Agilent Technologies, - Agilent Technologies Inc (NYSE),USD,1.0,2097600000000.0
106,+ 0,Naver, - Naver Corp (KRX),KRW,0.00093639,2092831650000.0
107,+ 0,TELUS, - TELUS Corporation (USA) (TSE),CAD,0.77293912,2092500785664.0
108,+ 0,Teliasonera, - Telia Company AB (STO),SEK,0.11459804,2081146245616.0
109,+ 0,LARGAN Precision, - 大立光電 (TPE),TWD,0.03362458,2073654748264.0
110,+ 0,Fujifilm Holdings, - FUJIFILM Holdings Corp (TYO),JPY,0.0090909,2036361600000.0
111,+ 0,AAC Technologies Holdings, - 瑞聲科技 (HKG),HKD,0.12744762,2018158552224.0
112,+ 0,Legrand, - Legrand SA (EPA),EUR,1.17691379,2006638011950.0
113,+ 0,Best Buy, - Best Buy Co Inc (NYSE),USD,1.0,1963900000000.0
114,+ 0,NetApp, - NetApp Inc. (NASDAQ),USD,1.0,1963500000000.0
115,+ 0,HCL Technologies, - HCL Technologies Ltd (NSE),INR,0.01492589,1940365700000.0
116,+ 0,CenturyLink, - Centurylink Inc (NYSE),USD,1.0,1920600000000.0
117,+ 0,Toshiba, - Toshiba Corp (TYO),JPY,0.0090909,1845452700000.0
118,+ 0,Skyworks Solutions, - Skyworks Solutions Inc (NASDAQ),USD,1.0,1841800000000.0
119,+ 0,SBA Communications, - SBA Communications Corporation (NASDAQ),USD,1.0,1839200000000.0
120,+ 0,Advanced Info Service, - Advanced Info Service PCL (BKK),THB,0.03133613,1833185540290.0
121,+ 0,Harris, - Harris Corporation (NYSE),USD,1.0,1821700000000.0
122,+ 0,Expedia, - Expedia Group Inc (NASDAQ),USD,1.0,1818100000000.0
123,+ 0,Wipro, - Wipro Limited (NSE),INR,0.01492589,1806032690000.0
124,+ 0,KLA-Tencor, - KLA-Tencor Corp (NASDAQ),USD,1.0,1801100000000.0
125,+ 0,Xilinx," - Xilinx, Inc. (NASDAQ)",USD,1.0,1788300000000.0
126,+ 0,Mediatek, - 聯發科技 (TPE),TWD,0.03362458,1777775256554.0
127,+ 0,Secom, - Secom Co Ltd (TYO),JPY,0.0090909,1745452800000.0
128,+ 0,Renesas Electronics, - Renesas Electronics Corporation (TYO),JPY,0.0090909,1745452800000.0
129,+ 0,Ametek," - AMETEK, Inc. (NYSE)",USD,1.0,1738400000000.0
130,+ 0,WW Grainger, - W W Grainger Inc (NYSE),USD,1.0,1726600000000.0
131,+ 0,SK Telecom, - SK Telecom Co Ltd (KRX),KRW,0.00093635,1714456850000.0
132,+ 0,Dell Technologies, - Dell Technologies Inc (NYSE),USD,1.0,1708800000000.0
133,+ 0,Maxim Integrated Products, - Maxim Integrated Products Inc. (NASDAQ),USD,1.0,1702100000000.0
134,+ 0,Telecom Italia, - Telecom Italia SpA (BIT),EUR,1.17691379,1695462005874.0
135,+ 0,VeriSign," - Verisign, Inc. (NASDAQ)",USD,1.0,1675700000000.0
136,+ 0,Samsung SDS, - Samsung SDS Co Ltd (KRX),KRW,0.00093635,1638612500000.0
137,+ 0,Seagate Technology, - Seagate Technology PLC (NASDAQ),USD,1.0,1635500000000.0
138,+ 0,Check Point Software, - Check Point Software Technologies Ltd. (NASDAQ),USD,1.0,1576200000000.0
139,+ 0,Snap, - Snap Inc (NYSE),USD,1.0,1574000000000.0
140,+ 0,Advanced Micro Devices," - Advanced Micro Devices, Inc. (NASDAQ)",USD,1.0,1519000000000.0
141,+ 0,CA," - CA, Inc. (NASDAQ)",USD,1.0,1518800000000.0
142,+ 0,Samsung SDI, - Samsung SDI Co Ltd (KRX),KRW,0.00093635,1468196800000.0
143,+ 0,Citrix Systems," - Citrix Systems, Inc. (NASDAQ)",USD,1.0,1464300000000.0
144,+ 0,LG Electronics, - LG Electronics Inc. (KRX),KRW,0.00093635,1421379300000.0
145,+ 0,Sharp, - Sharp Corporation (TYO),JPY,0.0090909,1381816800000.0
146,+ 0,Vestas Wind Systems, - Vestas Wind Systems A/S (CPH),DKK,0.15798749,1353178650599.0
147,+ 0,Symantec, - Symantec Corporation (NASDAQ),USD,1.0,1326900000000.0
148,+ 0,Akamai Technologies," - Akamai Technologies, Inc. (NASDAQ)",USD,1.0,1298700000000.0
149,+ 0,Liberty Broadband, - Liberty Broadband Corp Series A (NASDAQ),USD,1.0,1297600000000.0
150,+ 0,Fujitsu, - Fujitsu Ltd (TYO),JPY,0.0090909,1281816900000.0
151,+ 0,Olympus, - Olympus Corp (TYO),JPY,0.0090909,1272726000000.0
152,+ 0,Nomura Research Institute, - Nomura Research Institute Ltd (TYO),JPY,0.0090909,1272726000000.0
153,+ 0,TDK, - TDK Corp (TYO),JPY,0.0090909,1254544200000.0
154,+ 0,CDW, - CDW common stock (NASDAQ),USD,1.0,1247000000000.0
155,+ 0,Garmin, - Garmin Ltd. (NASDAQ),USD,1.0,1212400000000.0
156,+ 0,KPN, - Koninklijke KPN N.V. (AMS),EUR,1.17691379,1169028467607.0
157,+ 0,OMRON, - OMRON Corporation (TYO),JPY,0.0090909,1136362500000.0
158,+ 0,F5 Networks," - F5 Networks, Inc. (NASDAQ)",USD,1.0,1082200000000.0
159,+ 0,Iliad, - Iliad SA (EPA),EUR,1.17691379,1015205835254.0
160,+ 0,Nanya Technology, - 南亞科技 (TPE),TWD,0.03362458,1012338592518.0
161,+ 0,Delta Electronics, - 台達電子 (TPE),TWD,0.03362458,1011037321272.0
162,+ 0,Amdocs, - Amdocs Limited (NASDAQ),USD,1.0,987400000000.0
163,+ 0,Liberty Interactive, - Qurate Retail Inc Series A (NASDAQ),USD,1.0,974400000000.0
164,+ 0,Open Text, - Open Text Corp (USA) (NASDAQ),USD,1.0,948400000000.0
165,+ 0,Juniper Networks," - Juniper Networks, Inc. (NYSE)",USD,1.0,945500000000.0
166,+ 0,Rakuten, - Rakuten Inc (TYO),JPY,0.0090909,945453600000.0
167,+ 0,Proximus, - Proximus NV (EBR),EUR,1.17691379,911637421734.0
168,+ 0,LG Display, - LG Display Co Ltd (KRX),KRW,0.00093635,757507150000.0
169,+ 0,Legend Holding, - 聯想控股 (HKG),HKD,0.12744762,752259577050.0
170,+ 0,Quanta Computer, - 廣達電腦 (TPE),TWD,0.03362458,744972744648.0
171,+ 0,NEC, - NEC Corp (TYO),JPY,0.0090909,739508351400.0
172,+ 0,Flextronics International, - Flex Ltd (NASDAQ),USD,1.0,733900000000.0
173,+ 0,Arrow Electronics," - Arrow Electronics, Inc. (NYSE)",USD,1.0,668600000000.0
174,+ 0,KT Corp, - KT Corp (KRX),KRW,0.00093635,668553900000.0
175,+ 0,TCL Corp, - TCL集團 (SHE),CNY,0.15641455,661289434490.0
176,+ 0,Altice, - Altice NV Class A (AMS),EUR,1.17691379,653422536208.0
177,+ 0,Lenovo Group, - 聯想集團 (HKG),HKD,0.12744762,635555791416.0
178,+ 0,Pegatron, - 和碩聯合科技 (TPE),TWD,0.03362458,588147703528.0
179,+ 0,G4S, - G4S plc (LON),GBP,1.34147892,587701914852.0
180,+ 0,Turkcell, - Turkcell Iletisim Hizmetleri A.S. (IST),TRY,0.21878088,563623303056.0
181,+ 0,LG Uplus, - LG Uplus Corp (KRX),KRW,0.00093635,508438050000.0
182,+ 0,Jabil Circuit, - Jabil Inc (NYSE),USD,1.0,500500000000.0
183,+ 0,Yamada Denki, - Yamada Denki Co Ltd (TYO),JPY,0.0090909,488876783850.0
184,+ 0,Konica Minolta Business Solutions, - Konica Minolta Inc (TYO),JPY,0.0090909,476781341400.0
185,+ 0,Rexel, - Rexel SA (EPA),EUR,1.17691379,463821724639.0
186,+ 0,Avnet," - Avnet, Inc. (NASDAQ)",USD,1.0,455200000000.0
187,+ 0,China Communications Services, - 中國通信服務股份有限公司 (HKG),HKD,0.12744762,454592915778.0
188,+ 0,SYNNEX, - SYNNEX Corporation (NYSE),USD,1.0,441700000000.0
189,+ 0,AU Optronics, - 友達光電 (TPE),TWD,0.03362458,439217713792.0
190,+ 0,VEON, - VEON Ltd (ADR) (NASDAQ),USD,1.0,428300000000.0
191,+ 0,Innolux, - 群創光電 (TPE),TWD,0.03362458,414130414654.0
192,+ 0,ABB, - ABB India Ltd (NSE),INR,0.01492589,404272208417.0
193,+ 0,Tech Data, - Tech Data Corp (NASDAQ),USD,1.0,338500000000.0
194,+ 0,Oi, - Owens-Illinois Inc (NYSE),USD,1.0,299700000000.0
195,+ 0,Inventec, - 英業達集團 (TPE),TWD,0.03362458,295432284796.0
