rank,name,industry,exchange,code,rate,market_cap
1,Apple,資訊硬體, - Apple Inc. (NASDAQ),USD,1.0,91136500000000
2,Amazon.com,電商," - Amazon.com, Inc. (NASDAQ)",USD,1.0,83933100000000
3,Alphabet,網路服務, - Alphabet Inc Class A (NASDAQ),USD,1.0,80747400000000
4,Microsoft,軟體, - Microsoft Corporation (NASDAQ),USD,1.0,76954900000000
5,Facebook,網路服務," - Facebook, Inc. Common Stock (NASDAQ)",USD,1.0,58018900000000
6,Alibaba,電商, - Alibaba Group Holding Ltd (NYSE),USD,1.0,51604700000000
7,Tencent Holdings,網路服務, - 騰訊 (HKG),HKD,0.1274,48157200000000
8,Samsung Electronics,半導體, - Samsung Electronics Co Ltd (KRX),KRW,0.0009,30331800000000
9,Intel,半導體, - Intel Corporation (NASDAQ),USD,1.0,24497600000000
10,Verizon Communications,電信, - Verizon Communications Inc. (NYSE),USD,1.0,20543800000000
11,Cisco Systems,通訊設備," - Cisco Systems, Inc. (NASDAQ)",USD,1.0,20287800000000
12,AT&T,電信, - AT&T Inc. (NYSE),USD,1.0,19540700000000
13,Taiwan Semiconductor,半導體, - 台灣積體電路製造 (TPE),TWD,0.03298206,19459415400000
14,China Mobile,電信, - 中國移動 (HKG),HKD,0.1274,17963400000000
15,Netflix,網路服務," - Netflix, Inc. (NASDAQ)",USD,1.0,17958000000000
16,Oracle,軟體, - Oracle Corporation (NYSE),USD,1.0,17921400000000
17,NVIDIA,半導體, - NVIDIA Corporation (NASDAQ),USD,1.0,15308400000000
18,SAP,軟體, - SAP SE (ETR),EUR,1.1648,14300599040000
19,International Business Machines,資訊服務, - IBM Common Stock (NYSE),USD,1.0,12976400000000
20,Adobe Systems,軟體, - Adobe Systems Incorporated (NASDAQ),USD,1.0,12052200000000
21,3M,材料, - 3M Co (NYSE),USD,1.0,11675600000000
22,Siemens,工業, - Siemens AG (ETR),EUR,1.1648,11514630400000
23,Broadcom,半導體, - Broadcom Inc (NASDAQ),USD,1.0,11208600000000
24,General Electric,工業, - General Electric Company (NYSE),USD,1.0,11182400000000
25,Texas Instruments,半導體, - Texas Instruments Incorporated (NASDAQ),USD,1.0,10964900000000
26,Honeywell International,工業, - Honeywell International Inc. (NYSE),USD,1.0,10793100000000
27,Accenture,資訊服務, - Accenture Plc (NYSE),USD,1.0,10233400000000
28,Tata Consultancy Services,資訊服務, - Tata Consultancy Services Limited (NSE),INR,0.0147,10201800000000
29,Booking Holdings,網路服務, - Booking Holdings Inc (NASDAQ),USD,1.0,10012500000000
30,Salesforce.com,網路服務," - salesforce.com, inc. (NYSE)",USD,1.0,9918700000000
31,Nippon Telegraph & Tel,電信, - Nippon Telegraph And Telephone Corp (TYO),JPY,0.0091,9837100000000
32,Baidu,網路服務, - Baidu Inc (ADR) (NASDAQ),USD,1.0,9102200000000
33,ASML Holding,半導體, - ASML Holding NV (AMS),EUR,1.1648,8913049600000
34,Qualcomm,半導體," - QUALCOMM, Inc. (NASDAQ)",USD,1.0,8701100000000
35,Deutsche Telekom,電信, - Deutsche Telekom AG (ETR),EUR,1.1648,7509465600000
36,Keyence,電子, - KEYENCE CORPORATION (TYO),JPY,0.0091,7361900000000
37,KDDI,電信, - KDDI Corp (TYO),JPY,0.0091,6997900000000
38,Micron Technology,半導體," - Micron Technology, Inc. (NASDAQ)",USD,1.0,6679100000000
39,Vodafone,電信, - Vodafone Group plc (LON),GBP,1.3287,6610016760000
40,Altaba,網路服務, - Altaba Inc (NASDAQ),USD,1.0,6489200000000
41,Sony,資訊硬體, - Sony Corp (TYO),JPY,0.0091,6342700000000
42,Automatic Data Processing,資訊服務, - Automatic Data Processing (NASDAQ),USD,1.0,6126300000000
43,VMware,軟體," - VMware, Inc. (NYSE)",USD,1.0,6043900000000
44,SK Hynix,半導體, - SK Hynix Inc (KRX),KRW,0.0009,5864400000000
45,JD.com,電商, - JD.Com Inc(ADR) (NASDAQ),USD,1.0,5841900000000
46,Intuit,軟體, - Intuit Inc. (NASDAQ),USD,1.0,5306200000000
47,America Movil,電信, - America Movil SAB de CV (BMV),MXN,0.0495,5296500000000
48,Hikvision,電子, - 海康威視 (SHE),CNY,0.1539,5289789240000
49,Applied Materials,半導體," - Applied Materials, Inc. (NASDAQ)",USD,1.0,4857000000000
