rank,name,industry,exchange,code,rate,market_cap
1,Apple,資訊硬體, - Apple Inc. (NASDAQ),USD,1.0,92490600000000
2,Amazon.com,電商," - Amazon.com, Inc. (NASDAQ)",USD,1.0,85935100000000
3,Alphabet,網路服務, - Alphabet Inc Class A (NASDAQ),USD,1.0,80963300000000
4,Microsoft,軟體, - Microsoft Corporation (NASDAQ),USD,1.0,79285800000000
5,Facebook,網路服務," - Facebook, Inc. Common Stock (NASDAQ)",USD,1.0,58741100000000
6,Alibaba,電商, - Alibaba Group Holding Ltd (NYSE),USD,1.0,47968300000000
7,Tencent Holdings,網路服務, - 騰訊 (HKG),HKD,0.1274,47010600000000
8,Samsung Electronics,半導體, - Samsung Electronics Co Ltd (KRX),KRW,0.0009,30110400000000
9,Intel,半導體, - Intel Corporation (NASDAQ),USD,1.0,23800000000000
10,AT&T,電信, - AT&T Inc. (NYSE),USD,1.0,22942300000000
11,Verizon Communications,電信, - Verizon Communications Inc. (NYSE),USD,1.0,21283500000000
12,Taiwan Semiconductor,半導體, - 台灣積體電路製造 (TPE),TWD,0.0327279,19211277300000
13,Cisco Systems,通訊設備," - Cisco Systems, Inc. (NASDAQ)",USD,1.0,19193300000000
14,Oracle,軟體, - Oracle Corporation (NYSE),USD,1.0,19155300000000
15,China Mobile,電信, - 中國移動 (HKG),HKD,0.1274,18090800000000
16,Netflix,網路服務," - Netflix, Inc. (NASDAQ)",USD,1.0,17419400000000
17,NVIDIA,半導體, - NVIDIA Corporation (NASDAQ),USD,1.0,14910800000000
18,SAP,軟體, - SAP SE (ETR),EUR,1.1643,14499144329999
19,International Business Machines,資訊服務, - IBM Common Stock (NYSE),USD,1.0,13255100000000
20,Adobe Systems,軟體, - Adobe Systems Incorporated (NASDAQ),USD,1.0,12326800000000
21,General Electric,工業, - General Electric Company (NYSE),USD,1.0,12063900000000
22,3M,材料, - 3M Co (NYSE),USD,1.0,11845600000000
23,Siemens,工業, - Siemens AG (ETR),EUR,1.1643,11462067779999
24,Accenture,資訊服務, - Accenture Plc (NYSE),USD,1.0,11213600000000
25,Texas Instruments,半導體, - Texas Instruments Incorporated (NASDAQ),USD,1.0,10874300000000
26,Honeywell International,工業, - Honeywell International Inc. (NYSE),USD,1.0,10766200000000
27,Salesforce.com,網路服務," - salesforce.com, inc. (NYSE)",USD,1.0,10620300000000
28,Tata Consultancy Services,資訊服務, - Tata Consultancy Services Limited (NSE),INR,0.0146,10526600000000
29,Booking Holdings,網路服務, - Booking Holdings Inc (NASDAQ),USD,1.0,10012500000000
30,Nippon Telegraph & Tel,電信, - Nippon Telegraph And Telephone Corp (TYO),JPY,0.0089,9549700000000
31,Broadcom,半導體, - Broadcom Inc (NASDAQ),USD,1.0,9064400000000
32,Baidu,網路服務, - Baidu Inc (ADR) (NASDAQ),USD,1.0,8967600000000
33,Qualcomm,半導體," - QUALCOMM, Inc. (NASDAQ)",USD,1.0,8505600000000
34,ASML Holding,半導體, - ASML Holding NV (EPA),EUR,1.1643,8441291429999
35,Deutsche Telekom,電信, - Deutsche Telekom AG (ETR),EUR,1.1643,7597988939999
36,KDDI,電信, - KDDI Corp (TYO),JPY,0.0089,7084400000000
37,Sony,資訊硬體, - Sony Corp (TYO),JPY,0.0089,6746200000000
38,Keyence,電子, - KEYENCE CORPORATION (TYO),JPY,0.0089,6603800000000
39,Vodafone,電信, - Vodafone Group plc (LON),GBP,1.3158,6399261720000
40,Micron Technology,半導體," - Micron Technology, Inc. (NASDAQ)",USD,1.0,6385800000000
41,VMware,軟體," - VMware, Inc. (NYSE)",USD,1.0,6240100000000
42,Altaba,網路服務, - Altaba Inc (NASDAQ),USD,1.0,6022300000000
43,Automatic Data Processing,資訊服務, - Automatic Data Processing (NASDAQ),USD,1.0,5956400000000
44,America Movil,電信, - America Movil SAB de CV (BMV),MXN,0.0525,5932500000000
45,SK Hynix,半導體, - SK Hynix Inc (KRX),KRW,0.0009,5851800000000
46,JD.com,電商, - JD.Com Inc(ADR) (NASDAQ),USD,1.0,5407900000000
47,Intuit,軟體, - Intuit Inc. (NASDAQ),USD,1.0,5367300000000
48,Hikvision,電子, - 海康威視 (SHE),CNY,0.1492,5135419240000
49,Schneider Electric,機電設備, - Schneider Electric SE (EPA),EUR,1.1643,4662672210000
50,Hon Hai Precision,資訊硬體, - 鴻海精密 (TPE),TWD,0.0327279,4647361800000
51,Saudi Telecom,電信, - Saudi Telecom Company SJSC (TADAWUL),SAR,0.26664543,4639630482000
52,Applied Materials,半導體," - Applied Materials, Inc. (NASDAQ)",USD,1.0,4601300000000
53,Crown Castle International,電信, - CROWN CASTLE In/SH SH (NYSE),USD,1.0,4594200000000
54,Telefónica,電信, - Telefonica SA (BME),EUR,1.1643,4584081960000
55,Orange,電信, - Orange SA (EPA),EUR,1.1643,4524819090000
56,Nidec,機電設備, - NIDEC CORPORATION (TYO),JPY,0.0089,4521200000000
57,Emerson Electric,機電設備, - Emerson Electric Co. (NYSE),USD,1.0,4373700000000
58,Infosys,資訊服務, - Infosys Ltd (NSE),INR,0.0146,4146400000000
59,Philips,工業, - Koninklijke Philips NV (EPA),EUR,1.1643,4072372109999
60,Murata Manufacturing,電子," - Murata Manufacturing Co., Ltd. (TYO)",JPY,0.0089,3942700000000
61,Axiata Group,電信, - Axiata Group Bhd (KLSE),,1.0,3914600000000
62,SingTel,電信, - Singapore Telecommunications Limited (SGX),SGD,0.7314,3881393520000
63,Dassault Systemes,軟體, - Dassault Systemes SE (EPA),EUR,1.1643,3806213129999
64,China Telecom,電信, - 中國電信 (HKG),HKD,0.1274,3763434220000
65,HP,資訊硬體, - HP Inc (NYSE),USD,1.0,3742300000000
66,China Unicom,電信, - 中國聯通 (HKG),HKD,0.1274,3730412140000
67,BCE,電信, - BCE Inc. (USA) (TSE),CAD,0.7581,3703318500000
68,NXP Semiconductors,半導體, - NXP Semiconductors NV (NASDAQ),USD,1.0,3693100000000
69,eBay,電商, - eBay Inc (NASDAQ),USD,1.0,3681600000000
70,Amadeus IT Group,軟體, - Amadeus It Group SA (BME),EUR,1.1643,3593029799999
71,Analog Devices,半導體," - Analog Devices, Inc. (NASDAQ)",USD,1.0,3558600000000
72,Ericsson,通訊設備, - ERICSSON/SH B (CPH),DKK,0.1562,3547317620000
73,Equinix,資訊服務, - Equinix Inc (NASDAQ),USD,1.0,3541200000000
74,Netease,網路服務, - NetEase Inc (ADR) (NASDAQ),USD,1.0,3474100000000
75,Hitachi,電子," - Hitachi, Ltd. (TYO)",JPY,0.0089,3390900000000
