rank,name,industry,exchange,code,rate,market_cap
1,Apple,資訊硬體, - Apple Inc. (NASDAQ),USD,1.0,102000000000000
2,Amazon.com,電商," - Amazon.com, Inc. (NASDAQ)",USD,1.0,90815100000000
3,Alphabet,網路服務, - Alphabet Inc Class A (NASDAQ),USD,1.0,84835800000000
4,Microsoft,軟體, - Microsoft Corporation (NASDAQ),USD,1.0,82561600000000
5,Facebook,網路服務," - Facebook, Inc. Common Stock (NASDAQ)",USD,1.0,52248800000000
6,Alibaba,電商, - Alibaba Group Holding Ltd (NYSE),USD,1.0,43956200000000
7,Tencent Holdings,網路服務, - 騰訊 (HKG),HKD,0.1274,39748800000000
8,Samsung Electronics,半導體, - Samsung Electronics Co Ltd (KRX),KRW,0.0009,28342800000000
9,AT&T,電信, - AT&T Inc. (NYSE),USD,1.0,23839700000000
10,Verizon Communications,電信, - Verizon Communications Inc. (NYSE),USD,1.0,21959900000000
11,Intel,半導體, - Intel Corporation (NASDAQ),USD,1.0,21794700000000
12,Cisco Systems,通訊設備," - Cisco Systems, Inc. (NASDAQ)",USD,1.0,20838700000000
13,Taiwan Semiconductor,半導體, - 台灣積體電路製造 (TPE),TWD,0.03241251,19998518670000
14,Oracle,軟體, - Oracle Corporation (NYSE),USD,1.0,19178600000000
15,China Mobile,電信, - 中國移動 (HKG),HKD,0.1274,18982600000000
16,NVIDIA,半導體, - NVIDIA Corporation (NASDAQ),USD,1.0,15623400000000
17,Netflix,網路服務," - Netflix, Inc. (NASDAQ)",USD,1.0,14174300000000
18,SAP,軟體, - SAP SE (ETR),EUR,1.1321,13853507700000
19,International Business Machines,資訊服務, - IBM Common Stock (NYSE),USD,1.0,13342100000000
20,3M,材料, - 3M Co (NYSE),USD,1.0,12260700000000
21,Adobe Systems,軟體, - Adobe Systems Incorporated (NASDAQ),USD,1.0,12102300000000
22,Honeywell International,工業, - Honeywell International Inc. (NYSE),USD,1.0,11575400000000
23,General Electric,工業, - General Electric Company (NYSE),USD,1.0,10926100000000
24,Accenture,資訊服務, - Accenture Plc (NYSE),USD,1.0,10786200000000
25,Tata Consultancy Services,資訊服務, - Tata Consultancy Services Limited (NSE),INR,0.0143,10767900000000
26,Texas Instruments,半導體, - Texas Instruments Incorporated (NASDAQ),USD,1.0,10759900000000
27,Siemens,工業, - Siemens AG (ETR),EUR,1.1321,10644909880000
28,Salesforce.com,網路服務," - salesforce.com, inc. (NYSE)",USD,1.0,10603500000000
29,Booking Holdings,網路服務, - Booking Holdings Inc (NASDAQ),USD,1.0,10012500000000
30,Nippon Telegraph & Tel,電信, - Nippon Telegraph And Telephone Corp (TYO),JPY,0.009,9918000000000
31,Softbank,電信, - SoftBank Group Corp (TYO),JPY,0.009,9909000000000
32,Qualcomm,半導體," - QUALCOMM, Inc. (NASDAQ)",USD,1.0,9698500000000
33,Broadcom,半導體, - Broadcom Inc (NASDAQ),USD,1.0,8948700000000
34,ASML Holding,半導體, - ASML Holding NV (EPA),EUR,1.1321,8489617900000
35,Baidu,網路服務, - Baidu Inc (ADR) (NASDAQ),USD,1.0,8068100000000
36,Deutsche Telekom,電信, - Deutsche Telekom AG (ETR),EUR,1.1321,7490200020000
37,KDDI,電信, - KDDI Corp (TYO),JPY,0.009,7145999999999
38,Sony,資訊硬體, - Sony Corp (TYO),JPY,0.009,6704999999999
39,Keyence,電子, - KEYENCE CORPORATION (TYO),JPY,0.009,6506999999999
40,Automatic Data Processing,資訊服務, - Automatic Data Processing (NASDAQ),USD,1.0,6333600000000
41,VMware,軟體," - VMware, Inc. (NYSE)",USD,1.0,6186400000000
42,Vodafone,電信, - Vodafone Group plc (LON),GBP,1.2702,5991787440000
43,Micron Technology,半導體," - Micron Technology, Inc. (NASDAQ)",USD,1.0,5560600000000
44,Altaba,網路服務, - Altaba Inc (NASDAQ),USD,1.0,5503400000000
45,America Movil,電信, - America Movil SAB de CV (BMV),MXN,0.0522,5481000000000
46,Intuit,軟體, - Intuit Inc. (NASDAQ),USD,1.0,5374200000000
47,Applied Materials,半導體," - Applied Materials, Inc. (NASDAQ)",USD,1.0,4855100000000
48,SK Hynix,半導體, - SK Hynix Inc (KRX),KRW,0.0009,4812300000000
49,ABB,工業, - ABB Ltd. (SWX),CHF,1.0028,4789773920000
50,Emerson Electric,機電設備, - Emerson Electric Co. (NYSE),USD,1.0,4698600000000
51,Crown Castle International,電信, - CROWN CASTLE In/SH SH (NYSE),USD,1.0,4615100000000
52,JD.com,電商, - JD.Com Inc(ADR) (NASDAQ),USD,1.0,4587700000000
53,Hon Hai Precision,資訊硬體, - 鴻海精密 (TPE),TWD,0.03241251,4537751400000
54,Infosys,資訊服務, - Infosys Ltd (NSE),INR,0.0143,4418700000000
55,Schneider Electric,機電設備, - Schneider Electric SE (EPA),EUR,1.1321,4410548390000
56,Telefónica,電信, - Telefonica SA (BME),EUR,1.1321,4350207460000
57,Hikvision,電子, - 海康威視 (SHE),CNY,0.1446,4345591500000
58,Orange,電信, - Orange SA (EPA),EUR,1.1321,4265413170000
59,Saudi Telecom,電信, - Saudi Telecom Company SJSC (TADAWUL),SAR,0.26663597,4237352171643
60,Nidec,機電設備, - NIDEC CORPORATION (TYO),JPY,0.009,4067999999999
61,Philips,工業, - Koninklijke Philips NV (EPA),EUR,1.1321,3931670090000
62,Dassault Systemes,軟體, - Dassault Systemes SE (EPA),EUR,1.1321,3913103650000
63,HP,資訊硬體, - HP Inc (NYSE),USD,1.0,3881800000000
64,Axiata Group,電信, - Axiata Group Bhd (KLSE),,1.0,3856600000000
65,BCE,電信, - BCE Inc. (USA) (TSE),CAD,0.7632,3728232000000
66,Amadeus IT Group,軟體, - Amadeus It Group SA (BME),EUR,1.1321,3707740710000
67,China Telecom,電信, - 中國電信股份有限公司 (HKG),HKD,0.1274,3649538620000
68,China Unicom,電信, - 中國聯通 (HKG),HKD,0.1274,3573391640000
69,Murata Manufacturing,電子," - Murata Manufacturing Co., Ltd. (TYO)",JPY,0.009,3545999999999
70,Ericsson,通訊設備, - ERICSSON/SH B (CPH),DKK,0.1518,3528499920000
71,Analog Devices,半導體," - Analog Devices, Inc. (NASDAQ)",USD,1.0,3481200000000
72,Equinix,資訊服務, - Equinix Inc (NASDAQ),USD,1.0,3450800000000
73,eBay,電商, - eBay Inc (NASDAQ),USD,1.0,3387100000000
74,TE Connectivity,電子, - TE Connectivity Ltd (NYSE),USD,1.0,3270600000000
75,Fiserv,軟體, - Fiserv Inc (NASDAQ),USD,1.0,3253800000000
76,ServiceNow,軟體, - ServiceNow Inc (NYSE),USD,1.0,3192500000000
77,Hitachi,電子," - Hitachi, Ltd. (TYO)",JPY,0.009,3186000000000
78,Vivendi,電信, - Vivendi SA (EPA),EUR,1.1321,3161955300000
79,Telenor,電信, - Telenor ASA (ADR) (OTCMKTS),,1.0,3161300000000
80,NXP Semiconductors,半導體, - NXP Semiconductors NV (NASDAQ),USD,1.0,3103800000000
81,Panasonic,資訊硬體, - Panasonic Corporation (TYO),JPY,0.009,3006000000000
82,Workday,軟體, - Workday Inc (NASDAQ),USD,1.0,2950600000000
83,Lam Research,半導體, - Lam Research Corporation (NASDAQ),USD,1.0,2901400000000
84,Autodesk,軟體," - Autodesk, Inc. (NASDAQ)",USD,1.0,2900300000000
85,BT Group,電信, - BT Group - CLASS A Common Stock (LON),GBP,1.2702,2837753820000
86,Amphenol,電子, - Amphenol Corporation (NYSE),USD,1.0,2835300000000
87,Infineon Technologies,半導體, - Infineon Technologies AG (ETR),EUR,1.1321,2816325170000
88,Mitsubishi Electric,機電設備, - Mitsubishi Electric Corporation (TYO),JPY,0.009,2808000000000
89,Tokyo Electron,半導體, - Tokyo Electron Ltd (TYO),JPY,0.009,2754000000000
90,Teliasonera,電信, - Telia Company AB (CPH),DKK,0.1518,2748217560000
91,Corning,材料, - Corning Incorporated (NYSE),USD,1.0,2710700000000
92,Chunghwa Telecom,電信, - 中華電信 (TPE),TWD,0.03241251,2677817856168
93,Netease,網路服務, - NetEase Inc (ADR) (NASDAQ),USD,1.0,2627800000000
94,Telstra,電信, - Telstra Corporation Ltd (ASX),AUD,0.7225,2616533750000
95,Red Hat,軟體, - Red Hat Inc (NYSE),USD,1.0,2465500000000
96,CenturyLink,電信, - Centurylink Inc (NYSE),USD,1.0,2450300000000
97,Hewlett Packard Enterprise,資訊硬體, - Hewlett Packard Enterprise Co (NYSE),USD,1.0,2425300000000
98,Swisscom,電信, - Swisscom AG (SWX),CHF,1.0028,2379644400000
99,Kyocera,電子, - Kyocera Corp (TYO),JPY,0.009,2250000000000
100,Naver,網路服務, - Naver Corp (KRX),KRW,0.0009,2186100000000
