name,market_cap,place,symbol,rate,market_cap_format,market_cap_USD
Apple,9204.51億, - Apple Inc. (NASDAQ),USD,1.0,92045100000000,92045100000000
Alphabet,7567.31億, - Alphabet Inc Class A (NASDAQ),USD,1.0,75673100000000,75673100000000
Microsoft,7537.15億, - Microsoft Corporation (NASDAQ),USD,1.0,75371500000000,75371500000000
Amazon.com,7837.04億," - Amazon.com, Inc. (NASDAQ)",USD,1.0,78370400000000,78370400000000
Facebook,5493.94億," - Facebook, Inc. Common Stock (NASDAQ)",USD,1.0,54939400000000,54939400000000
Tencent Holdings,3.79兆, - 騰訊 (HKG),HKD,0.1274,379000000000000,48284600000000
Alibaba,5079.03億, - Alibaba Group Holding Ltd (NYSE),USD,1.0,50790300000000,50790300000000
General Electric,,,,1.0,,
Samsung Electronics,361.72兆, - Samsung Electronics Co Ltd (KRX),KRW,0.0009,36172000000000000,32554800000000
AT&T,1964.66億, - AT&T Inc. (NYSE),USD,1.0,19646600000000,19646600000000
China Mobile,1.43兆, - 中國移動 (HKG),HKD,0.1274,143000000000000,18218200000000
Verizon Communications,1951.82億, - Verizon Communications Inc. (NYSE),USD,1.0,19518200000000,19518200000000
Oracle,1879.05億, - Oracle Corporation (NYSE),USD,1.0,18790500000000,18790500000000
Intel,2555.69億, - Intel Corporation (NASDAQ),USD,1.0,25556900000000,25556900000000
Cisco Systems,2010.69億," - Cisco Systems, Inc. (NASDAQ)",USD,1.0,20106900000000,20106900000000
IBM,1282.45億, - IBM Common Stock (NYSE),USD,1.0,12824500000000,12824500000000
Taiwan Semiconductor,5.81兆, - 台灣積體電路製造 (TPE),TWD,0.03334214,581000000000000,19371783340000
SAP,1183.54億, - SAP SE (ETR),EUR,1.1699,11835400000000,13846234460000
3M,1153.79億, - 3M Co (NYSE),USD,1.0,11537900000000,11537900000000
Siemens,947.75億, - Siemens AG (ETR),EUR,1.1699,9477500000000,11087727250000
Honeywell International,1087.82億, - Honeywell International Inc. (NYSE),USD,1.0,10878200000000,10878200000000
Nippon Telegraph & Tel,10.70兆, - Nippon Telegraph And Telephone Corp (TYO),JPY,0.0092,1070000000000000,9844000000000
Broadcom,1024.42億, - Broadcom Inc (NASDAQ),USD,1.0,10244200000000,10244200000000
Booking Holdings,1001.25億, - Booking Holdings Inc (NASDAQ),USD,1.0,10012500000000,10012500000000
Qualcomm,858.67億," - QUALCOMM, Inc. (NASDAQ)",USD,1.0,8586700000000,8586700000000
Texas Instruments,1087.18億, - Texas Instruments Incorporated (NASDAQ),USD,1.0,10871800000000,10871800000000
Deutsche Telekom,629.46億, - Deutsche Telekom AG (ETR),EUR,1.1699,6294600000000,7364052540000
Softbank,8.55兆, - SoftBank Group Corp (TYO),JPY,0.0092,855000000000000,7866000000000
Accenture,982.90億, - Accenture Plc (NYSE),USD,1.0,9829000000000,9829000000000
Tata Consultancy Services,6.70兆, - Tata Consultancy Services Limited (NSE),INR,0.0148,670000000000000,9916000000000
KDDI,7.62兆, - KDDI Corp (TYO),JPY,0.0092,762000000000000,7010400000000
Vodafone,513.23億, - Vodafone Group plc (LON),GBP,1.3343,5132300000000,6848027890000
Adobe Systems,1198.57億, - Adobe Systems Incorporated (NASDAQ),USD,1.0,11985700000000,11985700000000
Netflix,1510.62億," - Netflix, Inc. (NASDAQ)",USD,1.0,15106200000000,15106200000000
Baidu,850.61億, - Baidu Inc (ADR) (NASDAQ),USD,1.0,8506100000000,8506100000000
Salesforce.com,928.06億," - salesforce.com, inc. (NYSE)",USD,1.0,9280600000000,9280600000000
NVIDIA,1514.31億, - NVIDIA Corporation (NASDAQ),USD,1.0,15143100000000,15143100000000
ASML Holding,722.27億, - ASML Holding NV (AMS),EUR,1.1699,7222700000000,8449836730000
Telefónica,391.85億, - Telefonica SA (BME),EUR,1.1699,3918500000000,4584253150000
Hon Hai Precision,1.49兆, - 鴻海精密 (TPE),TWD,0.03334214,149000000000000,4967978860000
ABB,"41,589", - ABB India Ltd (NSE),INR,0.0148,,
Keyence,8.13兆, - KEYENCE CORPORATION (TYO),JPY,0.0092,813000000000000,7479600000000
America Movil,1.03兆, - America Movil SAB de CV (BMV),MXN,0.0503,103000000000000,5180900000000
Automatic Data Processing,570.53億, - Automatic Data Processing (NASDAQ),USD,1.0,5705300000000,5705300000000
JD.com,507.97億, - JD.Com Inc(ADR) (NASDAQ),USD,1.0,5079700000000,5079700000000
SingTel,537.63億, - Singapore Telecommunications Limited (SGX),SGD,0.7473,5376300000000,4017708990000
Yahoo!,,,,1.0,,
Etisalat,,,,1.0,,
Applied Materials,539.36億," - Applied Materials, Inc. (NASDAQ)",USD,1.0,5393600000000,5393600000000
Schneider Electric,424.17億, - Schneider Electric SE (EPA),EUR,1.1699,4241700000000,4962364830000
RELX Group,388.70億, - Relx NV (AMS),EUR,1.1699,3887000000000,4547401300000
Telstra,333.01億, - Telstra Corporation Ltd (ASX),AUD,0.759,3330100000000,2527545900000
BCE,488.50億, - BCE Inc. (USA) (TSE),CAD,0.778,4885000000000,3800530000000
Sony,6.54兆, - Sony Corp (TYO),JPY,0.0092,654000000000000,6016800000000
China Telecom,2962.12億, - 中國電信 (HKG),HKD,0.1274,29621200000000,3773740880000
Orange,391.69億, - Orange SA (EPA),EUR,1.1699,3916900000000,4582381310000
BT Group,205.77億, - BT Group - CLASS A Common Stock (LON),GBP,1.3343,2057700000000,2745589110000
Emerson Electric,439.88億, - Emerson Electric Co. (NYSE),USD,1.0,4398800000000,4398800000000
VMware,546.65億," - VMware, Inc. (NYSE)",USD,1.0,5466500000000,5466500000000
Saudi Telecom,1790.00億, - Saudi Telecom Company SJSC (TADAWUL),SAR,0.26665272,17900000000000,4773083688000
Netease,302.81億, - NetEase Inc (ADR) (NASDAQ),USD,1.0,3028100000000,3028100000000
eBay,369.84億, - eBay Inc (NASDAQ),USD,1.0,3698400000000,3698400000000
NXP Semiconductors,392.34億, - NXP Semiconductors NV (NASDAQ),USD,1.0,3923400000000,3923400000000
Infosys,2.68兆, - Infosys Ltd (NSE),INR,0.0148,268000000000000,3966400000000
Crown Castle International,431.50億, - CROWN CASTLE In/SH SH (NYSE),USD,1.0,4315000000000,4315000000000
China Unicom,3261.76億, - 中國聯通 (HKG),HKD,0.1274,32617600000000,4155482240000
SK Hynix,68.00兆, - SK Hynix Inc (KRX),KRW,0.0009,6800000000000000,6120000000000
Micron Technology,666.24億," - Micron Technology, Inc. (NASDAQ)",USD,1.0,6662400000000,6662400000000
Equinix,318.86億, - Equinix Inc (NASDAQ),USD,1.0,3188600000000,3188600000000
Altice,52.14億, - Altice NV Class A (AMS),EUR,1.1699,521400000000,609985860000
Telkom Indonesia,,,,1.0,,
Hewlett Packard Enterprise,232.82億, - Hewlett Packard Enterprise Co (NYSE),USD,1.0,2328200000000,2328200000000
Nokia,278.20億, - Nokia Oyj (HEL),EUR,1.1699,2782000000000,3254661800000
Intuit,505.51億, - Intuit Inc. (NASDAQ),USD,1.0,5055100000000,5055100000000
Mitsubishi Electric,3.32兆, - Mitsubishi Electric Corporation (TYO),JPY,0.0092,332000000000000,3054400000000
HP,347.40億, - HP Inc (NYSE),USD,1.0,3474000000000,3474000000000
Analog Devices,356.44億," - Analog Devices, Inc. (NASDAQ)",USD,1.0,3564400000000,3564400000000
Philips,329.51億, - Koninklijke Philips NV (AMS),EUR,1.1699,3295100000000,3854937490000
Hikvision,3612.48億, - 海康威視 (SHE),CNY,0.1561,36124800000000,5639081280000
Murata Manufacturing,3.65兆," - Murata Manufacturing Co., Ltd. (TYO)",JPY,0.0092,365000000000000,3358000000000
Nidec,5.03兆, - NIDEC CORPORATION (TYO),JPY,0.0092,503000000000000,4627600000000
Chunghwa Telecom,8455.62億, - 中華電信 (TPE),TWD,0.03334214,84556200000000,2819284658268
Panasonic,3.65兆, - Panasonic Corporation (TYO),JPY,0.0092,365000000000000,3358000000000
TE Connectivity,323.10億, - TE Connectivity Ltd (NYSE),USD,1.0,3231000000000,3231000000000
Hitachi,3.85兆," - Hitachi, Ltd. (TYO)",JPY,0.0092,385000000000000,3542000000000
Corning,228.82億, - Corning Incorporated (NYSE),USD,1.0,2288200000000,2288200000000
Fiserv,292.59億, - Fiserv Inc (NASDAQ),USD,1.0,2925900000000,2925900000000
Western Digital,248.79億, - Western Digital Corp (NASDAQ),USD,1.0,2487900000000,2487900000000
Snap,140.84億, - Snap Inc (NYSE),USD,1.0,1408400000000,1408400000000
Telenor,"119,839", - Telenor ASA (SWX),CHF,1.015,,
Vivendi,279.77億, - Vivendi SA (EPA),EUR,1.1699,2797700000000,3273029230000
Naver,22.05兆, - Naver Corp (KRX),KRW,0.0009,2205000000000000,1984500000000
Rogers Communications,"970,471", - Rogers Communications Inc. (USA) Class B (TSE),CAD,0.778,,
Infineon Technologies,266.95億, - Infineon Technologies AG (ETR),EUR,1.1699,2669500000000,3123048050000
Swisscom,227.72億, - Swisscom AG (VTX),CHF,1.015,2277200000000,2311358000000
Dassault Systemes,313.00億, - Dassault Systemes SE (EPA),EUR,1.1699,3130000000000,3661787000000
Amadeus IT Group,297.96億, - Amadeus It Group SA (BME),EUR,1.1699,2979600000000,3485834040000
Amphenol,261.08億, - Amphenol Corporation (NYSE),USD,1.0,2610800000000,2610800000000
Bharti Airtel,1.49兆, - Bharti Airtel Limited (NSE),INR,0.0148,149000000000000,2205200000000
Ericsson,2134.74億, - ERICSSON/SH B (STO),SEK,0.1139,21347400000000,2431468860000
Level 3 Communications,,,,1.0,,
Lam Research,322.92億, - Lam Research Corporation (NASDAQ),USD,1.0,3229200000000,3229200000000
Fortive,252.86億, - Fortive Corp (NYSE),USD,1.0,2528600000000,2528600000000
LARGAN Precision,5499.75億, - 大立光電 (TPE),TWD,0.03334214,54997500000000,1833734344650
Sharp,1.44兆, - Sharp Corporation (TYO),JPY,0.0092,144000000000000,1324800000000
Kyocera,2.44兆, - Kyocera Corp (TYO),JPY,0.0092,244000000000000,2244800000000
TELUS,270.72億, - TELUS Corporation (USA) (TSE),CAD,0.778,2707200000000,2106201600000
Wipro,1.19兆, - Wipro Limited (NSE),INR,0.0148,119000000000000,1761200000000
Symantec,129.75億, - Symantec Corporation (NASDAQ),USD,1.0,1297500000000,1297500000000
Expedia,179.73億, - Expedia Group Inc (NASDAQ),USD,1.0,1797300000000,1797300000000
Skyworks Solutions,179.59億, - Skyworks Solutions Inc (NASDAQ),USD,1.0,1795900000000,1795900000000
Autodesk,284.18億," - Autodesk, Inc. (NASDAQ)",USD,1.0,2841800000000,2841800000000
HCL Technologies,1.26兆, - HCL Technologies Ltd (NSE),INR,0.0148,126000000000000,1864800000000
BOE Technology Group,1421.88億, - 京東方A (SHE),CNY,0.1561,14218800000000,2219554680000
Telecom Italia,140.77億, - Telecom Italia SpA (BIT),EUR,1.1699,1407700000000,1646868230000
Hoya,2.47兆, - HOYA CORPORATION (TYO),JPY,0.0092,247000000000000,2272400000000
Fujifilm Holdings,2.15兆, - FUJIFILM Holdings Corp (TYO),JPY,0.0092,215000000000000,1978000000000
Tokyo Electron,3.37兆, - Tokyo Electron Ltd (TYO),JPY,0.0092,337000000000000,3100400000000
Check Point Software,153.97億, - Check Point Software Technologies Ltd. (NASDAQ),USD,1.0,1539700000000,1539700000000
Vestas Wind Systems,899.15億, - Vestas Wind Systems A/S (CPH),DKK,0.1572,8991500000000,1413463800000
Agilent Technologies,197.64億, - Agilent Technologies Inc (NYSE),USD,1.0,1976400000000,1976400000000
Teliasonera,1790.06億, - Telia Company AB (STO),SEK,0.1139,17900600000000,2038878340000
Secom,1.89兆, - Secom Co Ltd (TYO),JPY,0.0092,189000000000000,1738800000000
MTN Group,2157.49億, - MTN Group Limited (JSE),ZAC,,21574900000000,
Workday,280.52億, - Workday Inc (NASDAQ),USD,1.0,2805200000000,2805200000000
Renesas Electronics,1.80兆, - Renesas Electronics Corporation (TYO),JPY,0.0092,180000000000000,1656000000000
SK Telecom,17.93兆, - SK Telecom Co Ltd (KRX),KRW,0.0009,1793000000000000,1613700000000
Microchip Technology,223.93億, - Microchip Technology Inc. (NASDAQ),USD,1.0,2239300000000,2239300000000
Legrand,171.69億, - Legrand SA (EPA),EUR,1.1699,1716900000000,2008601310000
Liberty Broadband,124.89億, - Liberty Broadband Corp Series A (NASDAQ),USD,1.0,1248900000000,1248900000000
Capgemini,189.80億, - Capgemini SE (EPA),EUR,1.1699,1898000000000,2220470200000
Focus Media Information Technology,1527.72億, - 分眾傳媒 (SHE),CNY,0.1561,15277200000000,2384770920000
Rakuten,1.05兆, - Rakuten Inc (TYO),JPY,0.0092,105000000000000,966000000000
Red Hat,287.76億, - Red Hat Inc (NYSE),USD,1.0,2877600000000,2877600000000
KLA-Tencor,175.95億, - KLA-Tencor Corp (NASDAQ),USD,1.0,1759500000000,1759500000000
Advanced Info Service,5663.75億, - Advanced Info Service PCL (BKK),THB,0.0312,56637500000000,1767090000000
Best Buy,189.11億, - Best Buy Co Inc (NYSE),USD,1.0,1891100000000,1891100000000
