,rank,lift,name,exchange,code,rate,market_cap
0,1,+ 0,Apple, - Apple Inc. (NASDAQ),USD,1.0,93505600000000.0
1,2,+ 0,Amazon.com," - Amazon.com, Inc. (NASDAQ)",USD,1.0,79651900000000.0
2,3,+ 0,Alphabet, - Alphabet Inc Class A (NASDAQ),USD,1.0,78290800000000.0
3,4,+ 0,Microsoft, - Microsoft Corporation (NASDAQ),USD,1.0,77439000000000.0
4,5,+ 0,Facebook," - Facebook, Inc. Common Stock (NASDAQ)",USD,1.0,56152900000000.0
5,6,+ 0,Alibaba, - Alibaba Group Holding Ltd (NYSE),USD,1.0,52334600000000.0
6,7,+ 0,Tencent Holdings, - 騰訊 (HKG),HKD,0.1275,49852500000000.0
7,8,+ 0,Samsung Electronics, - Samsung Electronics Co Ltd (KRX),KRW,0.0009,32819400000000.0
8,9,+ 0,Intel, - Intel Corporation (NASDAQ),USD,1.0,26599300000000.0
9,10,+ 0,Cisco Systems," - Cisco Systems, Inc. (NASDAQ)",USD,1.0,20532800000000.0
10,11,+ 0,AT&T, - AT&T Inc. (NYSE),USD,1.0,19939800000000.0
11,12,+ 0,Taiwan Semiconductor, - 台灣積體電路製造 (TPE),TWD,0.03349007,19893101580000.0
12,13,+ 0,Verizon Communications, - Verizon Communications Inc. (NYSE),USD,1.0,19754600000000.0
13,14,+ 0,Oracle, - Oracle Corporation (NYSE),USD,1.0,19329800000000.0
14,15,+ 0,China Mobile, - 中國移動 (HKG),HKD,0.1275,18742500000000.0
15,16,+ 0,Netflix," - Netflix, Inc. (NASDAQ)",USD,1.0,15645900000000.0
16,17,+ 0,NVIDIA, - NVIDIA Corporation (NASDAQ),USD,1.0,15638500000000.0
17,18,+ 0,SAP, - SAP SE (ETR),EUR,1.1669,13929985440000.0
18,19,+ 0,IBM, - IBM Common Stock (NYSE),USD,1.0,13030600000000.0
19,20,+ 0,Adobe Systems, - Adobe Systems Incorporated (NASDAQ),USD,1.0,12376300000000.0
20,21,+ 0,General Electric, - General Electric Company (NYSE),USD,1.0,12246300000000.0
21,22,+ 0,3M, - 3M Co (NYSE),USD,1.0,11849500000000.0
22,23,+ 0,Siemens, - Siemens AG (ETR),EUR,1.1669,11255684020000.0
23,24,+ 0,Texas Instruments, - Texas Instruments Incorporated (NASDAQ),USD,1.0,11238000000000.0
24,25,+ 0,Honeywell International, - Honeywell International Inc. (NYSE),USD,1.0,11210700000000.0
25,26,+ 0,Broadcom, - Broadcom Inc (NASDAQ),USD,1.0,10353800000000.0
26,27,+ 0,Accenture, - Accenture Plc (NYSE),USD,1.0,10218000000000.0
27,28,+ 0,Booking Holdings, - Booking Holdings Inc (NASDAQ),USD,1.0,10012500000000.0
28,29,+ 0,Nippon Telegraph & Tel, - Nippon Telegraph And Telephone Corp (TYO),JPY,0.0091,9855300000000.0
29,30,+ 0,Salesforce.com," - salesforce.com, inc. (NYSE)",USD,1.0,9572000000000.0
30,31,+ 0,ASML Holding, - ASML Holding NV (AMS),EUR,1.1669,8733079600000.0
31,32,+ 0,Qualcomm," - QUALCOMM, Inc. (NASDAQ)",USD,1.0,8689600000000.0
32,33,+ 0,Baidu, - Baidu Inc (ADR) (NASDAQ),USD,1.0,8664500000000.0
33,34,+ 0,Softbank, - SoftBank Group Corp (TYO),JPY,0.0091,7862400000000.0
34,35,+ 0,Keyence, - KEYENCE CORPORATION (TYO),JPY,0.0091,7480200000000.0
35,36,+ 0,Deutsche Telekom, - Deutsche Telekom AG (ETR),EUR,1.1669,7309811670000.0
36,37,+ 0,Vodafone, - Vodafone Group plc (LON),GBP,1.3309,6900051050000.0
37,38,+ 0,KDDI, - KDDI Corp (TYO),JPY,0.0091,6897800000000.0
38,39,+ 0,Micron Technology," - Micron Technology, Inc. (NASDAQ)",USD,1.0,6812500000000.0
39,40,+ 0,Sony, - Sony Corp (TYO),JPY,0.0091,6124300000000.0
40,41,+ 0,SK Hynix, - SK Hynix Inc (KRX),KRW,0.0009,5968800000000.0
41,42,+ 0,VMware," - VMware, Inc. (NYSE)",USD,1.0,5883000000000.0
42,43,+ 0,Automatic Data Processing, - Automatic Data Processing (NASDAQ),USD,1.0,5847100000000.0
43,44,+ 0,Hikvision, - 海康威視 (SHE),CNY,0.1558,5608114480000.0
44,45,+ 0,Applied Materials," - Applied Materials, Inc. (NASDAQ)",USD,1.0,5488800000000.0
45,46,+ 0,Intuit, - Intuit Inc. (NASDAQ),USD,1.0,5226700000000.0
46,47,+ 0,America Movil, - America Movil SAB de CV (BMV),MXN,0.0501,5210400000000.0
47,48,+ 0,JD.com, - JD.Com Inc(ADR) (NASDAQ),USD,1.0,5176400000000.0
48,49,+ 0,Schneider Electric, - Schneider Electric SE (EPA),EUR,1.1669,5176135020000.0
49,50,+ 0,Hon Hai Precision, - 鴻海精密 (TPE),TWD,0.03348984,5090455680000.0
50,51,+ 0,Tata Consultancy Services, - Tata Consultancy Services Limited (NSE),INR,0.0149,4917000000000.0
51,52,+ 0,Saudi Telecom, - Saudi Telecom Company SJSC (TADAWUL),SAR,0.26665347,4874425431600.0
52,53,+ 0,Nidec, - NIDEC CORPORATION (TYO),JPY,0.0091,4686500000000.0
53,54,+ 0,Orange, - Orange SA (EPA),EUR,1.1669,4614856120000.0
54,55,+ 0,Telefónica, - Telefonica SA (BME),EUR,1.1669,4611238730000.0
55,56,+ 0,RELX Group, - Relx NV (AMS),EUR,1.1669,4524071300000.0
56,57,+ 0,Emerson Electric, - Emerson Electric Co. (NYSE),USD,1.0,4497000000000.0
57,58,+ 0,Crown Castle International, - CROWN CASTLE In/SH SH (NYSE),USD,1.0,4320400000000.0
58,59,+ 0,China Unicom, - 中國聯通 (HKG),HKD,0.1275,4252367250000.0
59,60,+ 0,SingTel, - Singapore Telecommunications Limited (SGX),SGD,0.7472,3977569760000.0
60,61,+ 0,Infosys, - Infosys Ltd (NSE),INR,0.0149,3948500000000.0
61,62,+ 0,NXP Semiconductors, - NXP Semiconductors NV (NASDAQ),USD,1.0,3944400000000.0
62,63,+ 0,Philips, - Koninklijke Philips NV (AMS),EUR,1.1669,3920550620000.0
63,64,+ 0,China Telecom, - 中國電信 (HKG),HKD,0.1275,3869574000000.0
64,65,+ 0,eBay, - eBay Inc (NASDAQ),USD,1.0,3810900000000.0
65,66,+ 0,BCE, - BCE Inc. (USA) (TSE),CAD,0.7706,3764381000000.0
66,67,+ 0,HP, - HP Inc (NYSE),USD,1.0,3722600000000.0
67,68,+ 0,Dassault Systemes, - Dassault Systemes SE (EPA),EUR,1.1669,3706191090000.0
68,69,+ 0,Analog Devices," - Analog Devices, Inc. (NASDAQ)",USD,1.0,3638900000000.0
69,70,+ 0,Hitachi," - Hitachi, Ltd. (TYO)",JPY,0.0091,3539900000000.0
70,71,+ 0,Amadeus IT Group, - Amadeus It Group SA (BME),EUR,1.1669,3536290450000.0
71,72,+ 0,Vivendi, - Vivendi SA (EPA),EUR,1.1669,3444338730000.0
72,73,+ 0,Murata Manufacturing," - Murata Manufacturing Co., Ltd. (TYO)",JPY,0.0091,3430700000000.0
73,74,+ 0,Panasonic, - Panasonic Corporation (TYO),JPY,0.0091,3394300000000.0
74,75,+ 0,Lam Research, - Lam Research Corporation (NASDAQ),USD,1.0,3324900000000.0
75,76,+ 0,TE Connectivity, - TE Connectivity Ltd (NYSE),USD,1.0,3312000000000.0
76,77,+ 0,Nokia, - Nokia Oyj (HEL),EUR,1.1669,3290658000000.0
77,78,+ 0,Tsinghua Tongfang, - 清華同方 (SHA),,1.0,3260300000000.0
78,79,+ 0,ServiceNow, - ServiceNow Inc (NYSE),USD,1.0,3206800000000.0
79,80,+ 0,Equinix, - Equinix Inc (NASDAQ),USD,1.0,3153300000000.0
80,81,+ 0,Tokyo Electron, - Tokyo Electron Ltd (TYO),JPY,0.0091,3130400000000.0
81,82,+ 0,Infineon Technologies, - Infineon Technologies AG (ETR),EUR,1.1669,3122040950000.0
82,83,+ 0,Mitsubishi Electric, - Mitsubishi Electric Corporation (TYO),JPY,0.0091,3121300000000.0
83,84,+ 0,Netease, - NetEase Inc (ADR) (NASDAQ),USD,1.0,3053100000000.0
84,85,+ 0,Fiserv, - Fiserv Inc (NASDAQ),USD,1.0,3002400000000.0
85,86,+ 0,Red Hat, - Red Hat Inc (NYSE),USD,1.0,2983100000000.0
86,87,+ 0,Autodesk," - Autodesk, Inc. (NASDAQ)",USD,1.0,2925500000000.0
87,88,+ 0,Chunghwa Telecom, - 中華電信 (TPE),TWD,0.03349007,2857771304232.0
88,89,+ 0,BT Group, - BT Group - CLASS A Common Stock (LON),GBP,1.3309,2721557410000.0
89,90,+ 0,Workday, - Workday Inc (NASDAQ),USD,1.0,2716800000000.0
90,91,+ 0,Amphenol, - Amphenol Corporation (NYSE),USD,1.0,2663800000000.0
91,92,+ 0,Fortive, - Fortive Corp (NYSE),USD,1.0,2572700000000.0
92,93,+ 0,Western Digital, - Western Digital Corp (NASDAQ),USD,1.0,2569600000000.0
93,94,+ 0,Ericsson, - ERICSSON/SH B (STO),SEK,0.1134,2489130000000.0
94,95,+ 0,Telstra, - Telstra Corporation Ltd (ASX),AUD,0.7531,2472126060000.0
95,96,+ 0,Hewlett Packard Enterprise, - Hewlett Packard Enterprise Co (NYSE),USD,1.0,2412100000000.0
96,97,+ 0,Microchip Technology, - Microchip Technology Inc. (NASDAQ),USD,1.0,2368000000000.0
97,98,+ 0,Focus Media Information Technology, - 分眾傳媒 (SHE),CNY,0.1558,2366851280000.0
98,99,+ 0,Corning, - Corning Incorporated (NYSE),USD,1.0,2320800000000.0
99,100,+ 0,Swisscom, - Swisscom AG (VTX),CHF,1.012,2319605200000.0
100,101,+ 0,Capgemini, - Capgemini SE (EPA),EUR,1.1669,2301476870000.0
101,102,+ 0,Hoya, - HOYA CORPORATION (TYO),JPY,0.0091,2284100000000.0
102,103,+ 0,Bharti Airtel, - Bharti Airtel Limited (NSE),INR,0.0149,2279700000000.0
103,104,+ 0,Kyocera, - Kyocera Corp (TYO),JPY,0.0091,2265900000000.0
104,105,+ 0,BOE Technology Group, - 京東方A (SHE),CNY,0.1558,2210646200000.0
105,106,+ 0,TELUS, - TELUS Corporation (USA) (TSE),CAD,0.7706,2086168319999.0
106,107,+ 0,Teliasonera, - Telia Company AB (STO),SEK,0.1134,2061498600000.0
107,108,+ 0,Agilent Technologies, - Agilent Technologies Inc (NYSE),USD,1.0,2024500000000.0
108,109,+ 0,Legrand, - Legrand SA (EPA),EUR,1.1669,2019903900000.0
109,110,+ 0,Naver, - Naver Corp (KRX),KRW,0.0009,2016900000000.0
110,111,+ 0,Fujifilm Holdings, - FUJIFILM Holdings Corp (TYO),JPY,0.0091,2002000000000.0
111,112,+ 0,LARGAN Precision, - 大立光電 (TPE),TWD,0.03348984,1994594588688.0
112,113,+ 0,Best Buy, - Best Buy Co Inc (NYSE),USD,1.0,1940900000000.0
113,114,+ 0,CenturyLink, - Centurylink Inc (NYSE),USD,1.0,1913900000000.0
114,115,+ 0,NetApp, - NetApp Inc. (NASDAQ),USD,1.0,1867700000000.0
115,116,+ 0,AAC Technologies Holdings, - 瑞聲科技 (HKG),HKD,0.1275,1855635000000.0
116,117,+ 0,Skyworks Solutions, - Skyworks Solutions Inc (NASDAQ),USD,1.0,1838400000000.0
117,118,+ 0,SBA Communications, - SBA Communications Corporation (NASDAQ),USD,1.0,1820700000000.0
118,119,+ 0,Harris, - Harris Corporation (NYSE),USD,1.0,1812900000000.0
119,120,+ 0,KLA-Tencor, - KLA-Tencor Corp (NASDAQ),USD,1.0,1805600000000.0
120,121,+ 0,Expedia, - Expedia Group Inc (NASDAQ),USD,1.0,1802100000000.0
121,122,+ 0,Toshiba, - Toshiba Corp (TYO),JPY,0.0091,1783600000000.0
122,123,+ 0,Xilinx," - Xilinx, Inc. (NASDAQ)",USD,1.0,1783200000000.0
123,124,+ 0,Advanced Info Service, - Advanced Info Service PCL (BKK),THB,0.0312,1776365760000.0
124,125,+ 0,Wipro, - Wipro Limited (NSE),INR,0.0149,1743300000000.0
125,126,+ 0,Mediatek, - 聯發科技 (TPE),TWD,0.03348984,1740061757736.0
126,127,+ 0,WW Grainger, - W W Grainger Inc (NYSE),USD,1.0,1734900000000.0
127,128,+ 0,Secom, - Secom Co Ltd (TYO),JPY,0.0091,1729000000000.0
128,129,+ 0,Renesas Electronics, - Renesas Electronics Corporation (TYO),JPY,0.0091,1719900000000.0
129,130,+ 0,Ametek," - AMETEK, Inc. (NYSE)",USD,1.0,1718500000000.0
130,131,+ 0,Dell Technologies, - Dell Technologies Inc (NYSE),USD,1.0,1691500000000.0
131,132,+ 0,Maxim Integrated Products, - Maxim Integrated Products Inc. (NASDAQ),USD,1.0,1680600000000.0
132,133,+ 0,Telecom Italia, - Telecom Italia SpA (BIT),EUR,1.1669,1665633060000.0
133,134,+ 0,Seagate Technology, - Seagate Technology PLC (NASDAQ),USD,1.0,1662100000000.0
134,135,+ 0,VeriSign," - Verisign, Inc. (NASDAQ)",USD,1.0,1631700000000.0
135,136,+ 0,SK Telecom, - SK Telecom Co Ltd (KRX),KRW,0.0009,1624500000000.0
136,137,+ 0,Check Point Software, - Check Point Software Technologies Ltd. (NASDAQ),USD,1.0,1575100000000.0
