rank,lift,name,exchange,code,rate,market_cap
1,+ 0,Apple, - Apple Inc. (NASDAQ),USD,1.0,94830200000000.0
2,+ 0,Amazon.com," - Amazon.com, Inc. (NASDAQ)",USD,1.0,82150300000000.0
3,+ 0,Alphabet, - Alphabet Inc Class A (NASDAQ),USD,1.0,79393200000000.0
4,+ 0,Microsoft, - Microsoft Corporation (NASDAQ),USD,1.0,78295600000000.0
5,+ 0,Facebook," - Facebook, Inc. Common Stock (NASDAQ)",USD,1.0,55793900000000.0
6,+ 0,Alibaba, - Alibaba Group Holding Ltd (NYSE),USD,1.0,53402600000000.0
7,+ 0,Tencent Holdings, - 騰訊 (HKG),HKD,0.1274,50832600000000.0
8,+ 0,Samsung Electronics, - Samsung Electronics Co Ltd (KRX),KRW,0.0009,32948100000000.0
9,+ 0,Intel, - Intel Corporation (NASDAQ),USD,1.0,26254400000000.0
10,+ 0,Cisco Systems," - Cisco Systems, Inc. (NASDAQ)",USD,1.0,20492800000000.0
11,+ 0,Taiwan Semiconductor, - 台灣積體電路製造 (TPE),TWD,0.03358321,19948426740000.0
12,+ 0,AT&T, - AT&T Inc. (NYSE),USD,1.0,19942900000000.0
13,+ 0,Verizon Communications, - Verizon Communications Inc. (NYSE),USD,1.0,19779400000000.0
14,+ 0,Oracle, - Oracle Corporation (NYSE),USD,1.0,19182800000000.0
15,+ 0,China Mobile, - 中國移動 (HKG),HKD,0.1274,18855200000000.0
16,+ 0,NVIDIA, - NVIDIA Corporation (NASDAQ),USD,1.0,16069300000000.0
17,+ 0,Netflix," - Netflix, Inc. (NASDAQ)",USD,1.0,15934300000000.0
18,+ 0,SAP, - SAP SE (ETR),EUR,1.1675,14199368500000.0
19,+ 0,IBM, - IBM Common Stock (NYSE),USD,1.0,13182900000000.0
20,+ 0,Adobe Systems, - Adobe Systems Incorporated (NASDAQ),USD,1.0,12378700000000.0
21,+ 0,General Electric, - General Electric Company (NYSE),USD,1.0,12003100000000.0
22,+ 0,3M, - 3M Co (NYSE),USD,1.0,11937400000000.0
23,+ 0,Texas Instruments, - Texas Instruments Incorporated (NASDAQ),USD,1.0,11484700000000.0
24,+ 0,Siemens, - Siemens AG (ETR),EUR,1.1675,11233685000000.0
25,+ 0,Honeywell International, - Honeywell International Inc. (NYSE),USD,1.0,11183000000000.0
26,+ 0,Broadcom, - Broadcom Inc (NASDAQ),USD,1.0,10612600000000.0
27,+ 0,Accenture, - Accenture Plc (NYSE),USD,1.0,10269500000000.0
28,+ 0,Booking Holdings, - Booking Holdings Inc (NASDAQ),USD,1.0,10012500000000.0
29,+ 0,Nippon Telegraph & Tel, - Nippon Telegraph And Telephone Corp (TYO),JPY,0.0091,9909900000000.0
30,+ 0,Salesforce.com," - salesforce.com, inc. (NYSE)",USD,1.0,9794600000000.0
31,+ 0,Baidu, - Baidu Inc (ADR) (NASDAQ),USD,1.0,9048000000000.0
32,+ 0,ASML Holding, - ASML Holding NV (AMS),EUR,1.1675,8981577500000.0
33,+ 0,Qualcomm," - QUALCOMM, Inc. (NASDAQ)",USD,1.0,8737800000000.0
34,+ 0,Softbank, - SoftBank Group Corp (TYO),JPY,0.0091,8044400000000.0
35,+ 0,Deutsche Telekom, - Deutsche Telekom AG (ETR),EUR,1.1675,7446315000000.0
36,+ 0,Keyence, - KEYENCE CORPORATION (TYO),JPY,0.0091,7443800000000.0
37,+ 0,Vodafone, - Vodafone Group plc (LON),GBP,1.336,6996231200000.0
38,+ 0,KDDI, - KDDI Corp (TYO),JPY,0.0091,6897800000000.0
39,+ 0,Micron Technology," - Micron Technology, Inc. (NASDAQ)",USD,1.0,6854800000000.0
40,+ 0,Sony, - Sony Corp (TYO),JPY,0.0091,6215300000000.0
41,+ 0,SK Hynix, - SK Hynix Inc (KRX),KRW,0.0009,5962500000000.0
42,+ 0,Automatic Data Processing, - Automatic Data Processing (NASDAQ),USD,1.0,5917300000000.0
43,+ 0,VMware," - VMware, Inc. (NYSE)",USD,1.0,5912400000000.0
44,+ 0,Hikvision, - 海康威視 (SHE),CNY,0.1561,5767270600000.0
45,+ 0,JD.com, - JD.Com Inc(ADR) (NASDAQ),USD,1.0,5576600000000.0
46,+ 0,Applied Materials," - Applied Materials, Inc. (NASDAQ)",USD,1.0,5526600000000.0
47,+ 0,Intuit, - Intuit Inc. (NASDAQ),USD,1.0,5300500000000.0
48,+ 0,Hon Hai Precision, - 鴻海精密 (TPE),TWD,0.03358321,5138231130000.0
49,+ 0,America Movil, - America Movil SAB de CV (BMV),MXN,0.0491,5057300000000.0
50,+ 0,Schneider Electric, - Schneider Electric SE (EPA),EUR,1.1675,4953585750000.0
51,+ 0,Tata Consultancy Services, - Tata Consultancy Services Limited (NSE),INR,0.0149,4917000000000.0
52,+ 0,Saudi Telecom, - Saudi Telecom Company SJSC (TADAWUL),SAR,0.26664926,4906346384000.0
53,+ 0,Telefónica, - Telefonica SA (BME),EUR,1.1675,4659726000000.0
54,+ 0,Nidec, - NIDEC CORPORATION (TYO),JPY,0.0091,4641000000000.0
