rank,lift,name,exchange,code,rate,market_cap
1,+ 0,Apple, - Apple Inc. (NASDAQ),USD,1.0,94476500000000.0
2,+ 0,Amazon.com," - Amazon.com, Inc. (NASDAQ)",USD,1.0,82023700000000.0
3,+ 0,Microsoft, - Microsoft Corporation (NASDAQ),USD,1.0,79330500000000.0
4,+ 0,Alphabet, - Alphabet Inc Class A (NASDAQ),USD,1.0,79190300000000.0
5,+ 0,Facebook," - Facebook, Inc. Common Stock (NASDAQ)",USD,1.0,55656600000000.0
6,+ 0,Alibaba, - Alibaba Group Holding Ltd (NYSE),USD,1.0,53728700000000.0
7,+ 0,Tencent Holdings, - 騰訊 (HKG),HKD,0.1275,50235000000000.0
8,+ 0,Samsung Electronics, - Samsung Electronics Co Ltd (KRX),KRW,0.0009,31904100000000.0
9,+ 0,Intel, - Intel Corporation (NASDAQ),USD,1.0,26181200000000.0
10,+ 0,Cisco Systems," - Cisco Systems, Inc. (NASDAQ)",USD,1.0,20733900000000.0
11,+ 0,AT&T, - AT&T Inc. (NYSE),USD,1.0,20510800000000.0
12,+ 0,Verizon Communications, - Verizon Communications Inc. (NYSE),USD,1.0,20071900000000.0
13,+ 0,Taiwan Semiconductor, - 台灣積體電路製造 (TPE),TWD,0.0335501,19761008900000.0
14,+ 0,Oracle, - Oracle Corporation (NYSE),USD,1.0,19697500000000.0
15,+ 0,China Mobile, - 中國移動 (HKG),HKD,0.1275,18615000000000.0
16,+ 0,NVIDIA, - NVIDIA Corporation (NASDAQ),USD,1.0,16057600000000.0
17,+ 0,Netflix," - Netflix, Inc. (NASDAQ)",USD,1.0,15936100000000.0
18,+ 0,SAP, - SAP SE (ETR),EUR,1.1754,14503378140000.0
19,+ 0,IBM, - IBM Common Stock (NYSE),USD,1.0,13355200000000.0
20,+ 0,Adobe Systems, - Adobe Systems Incorporated (NASDAQ),USD,1.0,12693200000000.0
21,+ 0,3M, - 3M Co (NYSE),USD,1.0,12192700000000.0
22,+ 0,General Electric, - General Electric Company (NYSE),USD,1.0,11975800000000.0
23,+ 0,Texas Instruments, - Texas Instruments Incorporated (NASDAQ),USD,1.0,11414100000000.0
24,+ 0,Siemens, - Siemens AG (ETR),EUR,1.1754,11369644200000.0
25,+ 0,Honeywell International, - Honeywell International Inc. (NYSE),USD,1.0,11261600000000.0
26,+ 0,Broadcom, - Broadcom Inc (NASDAQ),USD,1.0,10871800000000.0
27,+ 0,Accenture, - Accenture Plc (NYSE),USD,1.0,10565300000000.0
28,+ 0,Booking Holdings, - Booking Holdings Inc (NASDAQ),USD,1.0,10012500000000.0
29,+ 0,Salesforce.com," - salesforce.com, inc. (NYSE)",USD,1.0,9994400000000.0
30,+ 0,Tata Consultancy Services, - Tata Consultancy Services Limited (NSE),INR,0.0148,9886400000000.0
31,+ 0,Nippon Telegraph & Tel, - Nippon Telegraph And Telephone Corp (TYO),JPY,0.0091,9809800000000.0
32,+ 0,Baidu, - Baidu Inc (ADR) (NASDAQ),USD,1.0,9159200000000.0
33,+ 0,ASML Holding, - ASML Holding NV (AMS),EUR,1.1754,8908003980000.0
34,+ 0,Qualcomm," - QUALCOMM, Inc. (NASDAQ)",USD,1.0,8816400000000.0
35,+ 0,Softbank, - SoftBank Group Corp (TYO),JPY,0.0091,8026200000000.0
36,+ 0,Deutsche Telekom, - Deutsche Telekom AG (ETR),EUR,1.1754,7463084760000.0
37,+ 0,Keyence, - KEYENCE CORPORATION (TYO),JPY,0.0091,7389200000000.0
38,+ 0,Micron Technology," - Micron Technology, Inc. (NASDAQ)",USD,1.0,7094700000000.0
39,+ 0,KDDI, - KDDI Corp (TYO),JPY,0.0091,7079800000000.0
40,+ 0,Vodafone, - Vodafone Group plc (LON),GBP,1.3397,7026190619999.0
41,+ 0,Sony, - Sony Corp (TYO),JPY,0.0091,6288100000000.0
42,+ 0,Automatic Data Processing, - Automatic Data Processing (NASDAQ),USD,1.0,6029800000000.0
43,+ 0,VMware," - VMware, Inc. (NYSE)",USD,1.0,5980800000000.0
