rank,lift,name,exchange,code,rate,market_cap
1,+ 0,Apple, - Apple Inc. (NASDAQ),USD,1.0,93219800000000.0
2,+ 0,Amazon.com," - Amazon.com, Inc. (NASDAQ)",USD,1.0,82255400000000.0
3,+ 0,Alphabet, - Alphabet Inc Class A (NASDAQ),USD,1.0,78588400000000.0
4,+ 0,Microsoft, - Microsoft Corporation (NASDAQ),USD,1.0,77286200000000.0
5,+ 0,Facebook," - Facebook, Inc. Common Stock (NASDAQ)",USD,1.0,55446600000000.0
6,+ 0,Alibaba, - Alibaba Group Holding Ltd (NYSE),USD,1.0,52063100000000.0
7,+ 0,Tencent Holdings, - 騰訊 (HKG),HKD,0.1274,50068200000000.0
8,+ 0,Samsung Electronics, - Samsung Electronics Co Ltd (KRX),KRW,0.0009,31242600000000.0
9,+ 0,Intel, - Intel Corporation (NASDAQ),USD,1.0,25503600000000.0
10,+ 0,Cisco Systems," - Cisco Systems, Inc. (NASDAQ)",USD,1.0,20579600000000.0
11,+ 0,Verizon Communications, - Verizon Communications Inc. (NYSE),USD,1.0,19781800000000.0
12,+ 0,Taiwan Semiconductor, - 台灣積體電路製造 (TPE),TWD,0.03347777,19718406530000.0
13,+ 0,AT&T, - AT&T Inc. (NYSE),USD,1.0,19688400000000.0
14,+ 0,Oracle, - Oracle Corporation (NYSE),USD,1.0,19599600000000.0
15,+ 0,China Mobile, - 中國移動 (HKG),HKD,0.1274,18345600000000.0
16,+ 0,Netflix," - Netflix, Inc. (NASDAQ)",USD,1.0,16407200000000.0
17,+ 0,NVIDIA, - NVIDIA Corporation (NASDAQ),USD,1.0,15809700000000.0
18,+ 0,SAP, - SAP SE (ETR),EUR,1.1764,14664061279999.0
19,+ 0,Adobe Systems, - Adobe Systems Incorporated (NASDAQ),USD,1.0,12534200000000.0
20,+ 0,3M, - 3M Co (NYSE),USD,1.0,12176000000000.0
21,+ 0,Siemens, - Siemens AG (ETR),EUR,1.1764,11672476079999.0
22,+ 0,Texas Instruments, - Texas Instruments Incorporated (NASDAQ),USD,1.0,11147100000000.0
23,+ 0,Broadcom, - Broadcom Inc (NASDAQ),USD,1.0,10738300000000.0
24,+ 0,Accenture, - Accenture Plc (NYSE),USD,1.0,10477800000000.0
25,+ 0,Booking Holdings, - Booking Holdings Inc (NASDAQ),USD,1.0,10012500000000.0
26,+ 0,Tata Consultancy Services, - Tata Consultancy Services Limited (NSE),INR,0.0148,9990000000000.0
27,+ 0,Salesforce.com," - salesforce.com, inc. (NYSE)",USD,1.0,9850100000000.0
28,+ 0,Nippon Telegraph & Tel, - Nippon Telegraph And Telephone Corp (TYO),JPY,0.009,9801000000000.0
29,+ 0,Baidu, - Baidu Inc (ADR) (NASDAQ),USD,1.0,9498800000000.0
30,+ 0,ASML Holding, - ASML Holding NV (AMS),EUR,1.1764,9125923000000.0
31,+ 0,Qualcomm," - QUALCOMM, Inc. (NASDAQ)",USD,1.0,8800600000000.0
32,+ 0,Softbank, - SoftBank Group Corp (TYO),JPY,0.009,8288999999999.0
33,+ 0,Deutsche Telekom, - Deutsche Telekom AG (ETR),EUR,1.1764,7455787919999.0
34,+ 0,Keyence, - KEYENCE CORPORATION (TYO),JPY,0.009,7226999999999.0
35,+ 0,KDDI, - KDDI Corp (TYO),JPY,0.009,7091999999999.0
36,+ 0,Micron Technology," - Micron Technology, Inc. (NASDAQ)",USD,1.0,7061000000000.0
37,+ 0,Vodafone, - Vodafone Group plc (LON),GBP,1.3336,6608254719999.0
38,+ 0,Sony, - Sony Corp (TYO),JPY,0.009,6183000000000.0
39,+ 0,VMware," - VMware, Inc. (NYSE)",USD,1.0,6171500000000.0
40,+ 0,Automatic Data Processing, - Automatic Data Processing (NASDAQ),USD,1.0,5950600000000.0
41,+ 0,SK Hynix, - SK Hynix Inc (KRX),KRW,0.0009,5733000000000.0
42,+ 0,JD.com, - JD.Com Inc(ADR) (NASDAQ),USD,1.0,5655400000000.0
43,+ 0,Hikvision, - 海康威視 (SHE),CNY,0.1562,5557658480000.0
44,+ 0,Intuit, - Intuit Inc. (NASDAQ),USD,1.0,5292700000000.0
45,+ 0,Applied Materials," - Applied Materials, Inc. (NASDAQ)",USD,1.0,5254200000000.0
46,+ 0,America Movil, - America Movil SAB de CV (BMV),MXN,0.0484,5082000000000.0
47,+ 0,Schneider Electric, - Schneider Electric SE (EPA),EUR,1.1764,4997935400000.0
48,+ 0,Hon Hai Precision, - 鴻海精密 (TPE),TWD,0.03347777,4988187730000.0
49,+ 0,Saudi Telecom, - Saudi Telecom Company SJSC (TADAWUL),SAR,0.26665578,4730820189714.0
50,+ 0,Nidec, - NIDEC CORPORATION (TYO),JPY,0.009,4644000000000.0
51,+ 0,Emerson Electric, - Emerson Electric Co. (NYSE),USD,1.0,4583900000000.0
52,+ 0,Telefónica, - Telefonica SA (BME),EUR,1.1764,4520787560000.0
53,+ 0,RELX Group, - Relx NV (AMS),EUR,1.1764,4511494000000.0
54,+ 0,Orange, - Orange SA (EPA),EUR,1.1764,4505376720000.0
55,+ 0,Crown Castle International, - CROWN CASTLE In/SH SH (NYSE),USD,1.0,4342400000000.0
56,+ 0,Axiata Group, - Axiata Group Bhd (KLSE),,1.0,4334800000000.0
57,+ 0,Infosys, - Infosys Ltd (NSE),INR,0.0148,4010800000000.0
58,+ 0,Philips, - Koninklijke Philips NV (AMS),EUR,1.1764,3986937239999.0
59,+ 0,NXP Semiconductors, - NXP Semiconductors NV (NASDAQ),USD,1.0,3957900000000.0
60,+ 0,HP, - HP Inc (NYSE),USD,1.0,3927600000000.0
61,+ 0,China Unicom, - 中國聯通 (HKG),HKD,0.1274,3914250340000.0
62,+ 0,eBay, - eBay Inc (NASDAQ),USD,1.0,3913200000000.0
63,+ 0,SingTel, - Singapore Telecommunications Limited (SGX),SGD,0.7488,3912704640000.0
64,+ 0,Dassault Systemes, - Dassault Systemes SE (EPA),EUR,1.1764,3760480239999.0
65,+ 0,BCE, - BCE Inc. (USA) (TSE),CAD,0.7682,3752657000000.0
66,+ 0,Analog Devices," - Analog Devices, Inc. (NASDAQ)",USD,1.0,3724800000000.0
67,+ 0,China Telecom, - 中國電信 (HKG),HKD,0.1274,3722194840000.0
68,+ 0,Amadeus IT Group, - Amadeus It Group SA (BME),EUR,1.1764,3699189799999.0
69,+ 0,Hitachi," - Hitachi, Ltd. (TYO)",JPY,0.009,3572999999999.0
70,+ 0,Murata Manufacturing," - Murata Manufacturing Co., Ltd. (TYO)",JPY,0.009,3473999999999.0
71,+ 0,Panasonic, - Panasonic Corporation (TYO),JPY,0.009,3455999999999.0
72,+ 0,TE Connectivity, - TE Connectivity Ltd (NYSE),USD,1.0,3391100000000.0
73,+ 0,Nokia, - Nokia Oyj (HEL),EUR,1.1764,3390031879999.0
74,+ 0,Netease, - NetEase Inc (ADR) (NASDAQ),USD,1.0,3296400000000.0
75,+ 0,Vivendi, - Vivendi SA (EPA),EUR,1.1764,3294155279999.0
76,+ 0,Infineon Technologies, - Infineon Technologies AG (ETR),EUR,1.1764,3286861599999.0
77,+ 0,Equinix, - Equinix Inc (NASDAQ),USD,1.0,3220700000000.0
78,+ 0,ServiceNow, - ServiceNow Inc (NYSE),USD,1.0,3170900000000.0
79,+ 0,Telenor, - Telenor ASA (ADR) (OTCMKTS),,1.0,3161300000000.0
80,+ 0,Fiserv, - Fiserv Inc (NASDAQ),USD,1.0,3076100000000.0
81,+ 0,Red Hat, - Red Hat Inc (NYSE),USD,1.0,3042400000000.0
82,+ 0,Tsinghua Tongfang, - 清華同方 (SHA),,1.0,3017200000000.0
83,+ 0,Tokyo Electron, - Tokyo Electron Ltd (TYO),JPY,0.009,2997000000000.0
84,+ 0,Lam Research, - Lam Research Corporation (NASDAQ),USD,1.0,2975900000000.0
85,+ 0,Autodesk," - Autodesk, Inc. (NASDAQ)",USD,1.0,2974900000000.0
86,+ 0,Mitsubishi Electric, - Mitsubishi Electric Corporation (TYO),JPY,0.009,2970000000000.0
87,+ 0,Chunghwa Telecom, - 中華電信 (TPE),TWD,0.03347761,2830739486682.0
88,+ 0,Amphenol, - Amphenol Corporation (NYSE),USD,1.0,2740000000000.0
89,+ 0,BT Group, - BT Group - CLASS A Common Stock (LON),GBP,1.3336,2733746640000.0
90,+ 0,Fortive, - Fortive Corp (NYSE),USD,1.0,2724700000000.0
91,+ 0,Workday, - Workday Inc (NASDAQ),USD,1.0,2648100000000.0
92,+ 0,Ericsson, - ERICSSON/SH B (STO),SEK,0.1161,2590167780000.0
93,+ 0,Telstra, - Telstra Corporation Ltd (ASX),AUD,0.7587,2585194380000.0
94,+ 0,Rogers Communications, - Rogers Communications Inc. (USA) Class B (NYSE),USD,1.0,2534100000000.0
95,+ 0,Western Digital, - Western Digital Corp (NASDAQ),USD,1.0,2506100000000.0
96,+ 0,Hewlett Packard Enterprise, - Hewlett Packard Enterprise Co (NYSE),USD,1.0,2488200000000.0
97,+ 0,Corning, - Corning Incorporated (NYSE),USD,1.0,2394700000000.0
98,+ 0,Microchip Technology, - Microchip Technology Inc. (NASDAQ),USD,1.0,2385400000000.0
99,+ 0,Focus Media Information Technology, - 分眾傳媒 (SHE),CNY,0.1562,2365289740000.0
100,+ 0,Swisscom, - Swisscom AG (VTX),CHF,1.0127,2306322980000.0
101,+ 0,Capgemini, - Capgemini SE (EPA),EUR,1.1764,2295979880000.0
102,+ 0,Bharti Airtel, - Bharti Airtel Limited (NSE),INR,0.0148,2279200000000.0
103,+ 0,Kyocera, - Kyocera Corp (TYO),JPY,0.009,2223000000000.0
104,+ 0,Hoya, - HOYA CORPORATION (TYO),JPY,0.009,2195999999999.0
105,+ 0,BOE Technology Group, - 京東方A (SHE),CNY,0.1562,2152029880000.0
